"Step","ResNet-18_cifar100_lion_256 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar100_lion_256 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar100_lion_256 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar100_adafactor_256 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar100_adafactor_256 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar100_adafactor_256 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar100_adamw_256 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar100_adamw_256 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar100_adamw_256 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar100_adam-mini_256 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar100_adam-mini_256 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar100_adam-mini_256 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar100_sgd_256 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar100_sgd_256 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar100_sgd_256 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar100_adam_256 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar100_adam_256 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar100_adam_256 - memory/train_peak_gpu_memory_mb__MAX"
"0","1357.99560546875","1357.99560546875","1357.99560546875","1388.94775390625","1388.94775390625","1388.94775390625","1402.4248046875","1402.4248046875","1402.4248046875","1357.53564453125","1357.53564453125","1357.53564453125","1356.74560546875","1356.74560546875","1356.74560546875","1401.4248046875","1401.4248046875","1401.4248046875"
"1","1402.2236328125","1402.2236328125","1402.2236328125","1432.55078125","1432.55078125","1432.55078125","1445.52783203125","1445.52783203125","1445.52783203125","1402.888671875","1402.888671875","1402.888671875","1399.5986328125","1399.5986328125","1399.5986328125","1446.27783203125","1446.27783203125","1446.27783203125"
"2","1400.5986328125","1400.5986328125","1400.5986328125","1433.9228515625","1433.9228515625","1433.9228515625","1446.40283203125","1446.40283203125","1446.40283203125","1402.2607421875","1402.2607421875","1402.2607421875","1401.5986328125","1401.5986328125","1401.5986328125","1446.14990234375","1446.14990234375","1446.14990234375"
"3","1401.9736328125","1401.9736328125","1401.9736328125","1432.30078125","1432.30078125","1432.30078125","1446.15283203125","1446.15283203125","1446.15283203125","1401.388671875","1401.388671875","1401.388671875","1402.2236328125","1402.2236328125","1402.2236328125","1445.90283203125","1445.90283203125","1445.90283203125"
"4","1400.8486328125","1400.8486328125","1400.8486328125","1433.9228515625","1433.9228515625","1433.9228515625","1446.15283203125","1446.15283203125","1446.15283203125","1401.763671875","1401.763671875","1401.763671875","1400.2236328125","1400.2236328125","1400.2236328125","1446.65283203125","1446.65283203125","1446.65283203125"
"5","1404.2236328125","1404.2236328125","1404.2236328125","1433.17578125","1433.17578125","1433.17578125","1446.65283203125","1446.65283203125","1446.65283203125","1400.888671875","1400.888671875","1400.888671875","1402.2236328125","1402.2236328125","1402.2236328125","1445.02783203125","1445.02783203125","1445.02783203125"
"6","1401.0986328125","1401.0986328125","1401.0986328125","1432.92578125","1432.92578125","1432.92578125","1446.52783203125","1446.52783203125","1446.52783203125","1402.388671875","1402.388671875","1402.388671875","1402.2236328125","1402.2236328125","1402.2236328125","1446.02783203125","1446.02783203125","1446.02783203125"
"7","1402.8486328125","1402.8486328125","1402.8486328125","1432.92578125","1432.92578125","1432.92578125","1447.40283203125","1447.40283203125","1447.40283203125","1401.638671875","1401.638671875","1401.638671875","1400.2236328125","1400.2236328125","1400.2236328125","1445.77783203125","1445.77783203125","1445.77783203125"
"8","1402.7236328125","1402.7236328125","1402.7236328125","1432.92578125","1432.92578125","1432.92578125","1445.52783203125","1445.52783203125","1445.52783203125","1402.513671875","1402.513671875","1402.513671875","1402.2236328125","1402.2236328125","1402.2236328125","1446.40283203125","1446.40283203125","1446.40283203125"
"9","1401.8486328125","1401.8486328125","1401.8486328125","1433.17578125","1433.17578125","1433.17578125","1447.40283203125","1447.40283203125","1447.40283203125","1401.513671875","1401.513671875","1401.513671875","1402.2236328125","1402.2236328125","1402.2236328125","1447.02783203125","1447.02783203125","1447.02783203125"
"10","1401.8486328125","1401.8486328125","1401.8486328125","1433.17578125","1433.17578125","1433.17578125","1446.52783203125","1446.52783203125","1446.52783203125","1401.888671875","1401.888671875","1401.888671875","1402.2236328125","1402.2236328125","1402.2236328125","1445.90283203125","1445.90283203125","1445.90283203125"
"11","1403.4736328125","1403.4736328125","1403.4736328125","1432.80078125","1432.80078125","1432.80078125","1447.52490234375","1447.52490234375","1447.52490234375","1402.513671875","1402.513671875","1402.513671875","1400.2236328125","1400.2236328125","1400.2236328125","1446.52783203125","1446.52783203125","1446.52783203125"
"12","1400.8486328125","1400.8486328125","1400.8486328125","1432.80078125","1432.80078125","1432.80078125","1445.65283203125","1445.65283203125","1445.65283203125","1401.638671875","1401.638671875","1401.638671875","1402.2236328125","1402.2236328125","1402.2236328125","1444.90283203125","1444.90283203125","1444.90283203125"
"13","1400.8486328125","1400.8486328125","1400.8486328125","1432.92578125","1432.92578125","1432.92578125","1447.15283203125","1447.15283203125","1447.15283203125","1401.388671875","1401.388671875","1401.388671875","1400.2236328125","1400.2236328125","1400.2236328125","1446.14990234375","1446.14990234375","1446.14990234375"
"14","1400.8486328125","1400.8486328125","1400.8486328125","1432.80078125","1432.80078125","1432.80078125","1447.15283203125","1447.15283203125","1447.15283203125","1401.388671875","1401.388671875","1401.388671875","1400.2236328125","1400.2236328125","1400.2236328125","1446.14990234375","1446.14990234375","1446.14990234375"
"15","1400.8486328125","1400.8486328125","1400.8486328125","1432.80078125","1432.80078125","1432.80078125","1447.15283203125","1447.15283203125","1447.15283203125","1402.638671875","1402.638671875","1402.638671875","1400.2236328125","1400.2236328125","1400.2236328125","1446.14990234375","1446.14990234375","1446.14990234375"
"16","1400.8486328125","1400.8486328125","1400.8486328125","1433.92578125","1433.92578125","1433.92578125","1445.52783203125","1445.52783203125","1445.52783203125","1403.0107421875","1403.0107421875","1403.0107421875","1400.2236328125","1400.2236328125","1400.2236328125","1446.14990234375","1446.14990234375","1446.14990234375"
"17","1400.8486328125","1400.8486328125","1400.8486328125","1434.9228515625","1434.9228515625","1434.9228515625","1448.27783203125","1448.27783203125","1448.27783203125","1403.0107421875","1403.0107421875","1403.0107421875","1402.2236328125","1402.2236328125","1402.2236328125","1446.14990234375","1446.14990234375","1446.14990234375"
"18","1400.8486328125","1400.8486328125","1400.8486328125","1434.9228515625","1434.9228515625","1434.9228515625","1448.89990234375","1448.89990234375","1448.89990234375","1403.0107421875","1403.0107421875","1403.0107421875","1402.2236328125","1402.2236328125","1402.2236328125","1446.15283203125","1446.15283203125","1446.15283203125"
"19","1400.8486328125","1400.8486328125","1400.8486328125","1434.9228515625","1434.9228515625","1434.9228515625","1448.89990234375","1448.89990234375","1448.89990234375","1401.263671875","1401.263671875","1401.263671875","1402.2236328125","1402.2236328125","1402.2236328125","1446.40283203125","1446.40283203125","1446.40283203125"
"20","1400.8486328125","1400.8486328125","1400.8486328125","1432.05078125","1432.05078125","1432.05078125","1445.90283203125","1445.90283203125","1445.90283203125","1401.513671875","1401.513671875","1401.513671875","1402.2236328125","1402.2236328125","1402.2236328125","1446.40283203125","1446.40283203125","1446.40283203125"
"21","1400.8486328125","1400.8486328125","1400.8486328125","1432.05078125","1432.05078125","1432.05078125","1445.90283203125","1445.90283203125","1445.90283203125","1402.013671875","1402.013671875","1402.013671875","1402.2236328125","1402.2236328125","1402.2236328125","1446.40283203125","1446.40283203125","1446.40283203125"
"22","1400.8486328125","1400.8486328125","1400.8486328125","1432.05078125","1432.05078125","1432.05078125","1445.90283203125","1445.90283203125","1445.90283203125","1402.013671875","1402.013671875","1402.013671875","1402.2236328125","1402.2236328125","1402.2236328125","1446.40283203125","1446.40283203125","1446.40283203125"
"23","1400.8486328125","1400.8486328125","1400.8486328125","1432.05078125","1432.05078125","1432.05078125","1445.90283203125","1445.90283203125","1445.90283203125","1402.013671875","1402.013671875","1402.013671875","1400.2236328125","1400.2236328125","1400.2236328125","1446.40283203125","1446.40283203125","1446.40283203125"
"24","1400.8486328125","1400.8486328125","1400.8486328125","1432.05078125","1432.05078125","1432.05078125","1445.90283203125","1445.90283203125","1445.90283203125","1402.013671875","1402.013671875","1402.013671875","1400.2236328125","1400.2236328125","1400.2236328125","1446.40283203125","1446.40283203125","1446.40283203125"
"25","1400.8486328125","1400.8486328125","1400.8486328125","1432.05078125","1432.05078125","1432.05078125","1445.90283203125","1445.90283203125","1445.90283203125","1402.013671875","1402.013671875","1402.013671875","1400.2236328125","1400.2236328125","1400.2236328125","1446.40283203125","1446.40283203125","1446.40283203125"
"26","1400.8486328125","1400.8486328125","1400.8486328125","1432.05078125","1432.05078125","1432.05078125","1445.90283203125","1445.90283203125","1445.90283203125","1402.013671875","1402.013671875","1402.013671875","1400.2236328125","1400.2236328125","1400.2236328125","1446.40283203125","1446.40283203125","1446.40283203125"
"27","1400.8486328125","1400.8486328125","1400.8486328125","1435.42578125","1435.42578125","1435.42578125","1445.90283203125","1445.90283203125","1445.90283203125","1402.013671875","1402.013671875","1402.013671875","1400.2236328125","1400.2236328125","1400.2236328125","1446.40283203125","1446.40283203125","1446.40283203125"
"28","1400.8486328125","1400.8486328125","1400.8486328125","1435.42578125","1435.42578125","1435.42578125","1445.90283203125","1445.90283203125","1445.90283203125","1402.013671875","1402.013671875","1402.013671875","1400.2236328125","1400.2236328125","1400.2236328125","1446.40283203125","1446.40283203125","1446.40283203125"
"29","1400.8486328125","1400.8486328125","1400.8486328125","1435.42578125","1435.42578125","1435.42578125","1445.90283203125","1445.90283203125","1445.90283203125","1402.013671875","1402.013671875","1402.013671875","1400.2236328125","1400.2236328125","1400.2236328125","1446.40283203125","1446.40283203125","1446.40283203125"
"30","1400.8486328125","1400.8486328125","1400.8486328125","1435.42578125","1435.42578125","1435.42578125","1445.90283203125","1445.90283203125","1445.90283203125","1402.013671875","1402.013671875","1402.013671875","1400.2236328125","1400.2236328125","1400.2236328125","1446.40283203125","1446.40283203125","1446.40283203125"
"31","1400.8486328125","1400.8486328125","1400.8486328125","1435.42578125","1435.42578125","1435.42578125","1445.90283203125","1445.90283203125","1445.90283203125","1402.013671875","1402.013671875","1402.013671875","1402.2236328125","1402.2236328125","1402.2236328125","1446.40283203125","1446.40283203125","1446.40283203125"
"32","","","","1435.42578125","1435.42578125","1435.42578125","1445.90283203125","1445.90283203125","1445.90283203125","1402.013671875","1402.013671875","1402.013671875","1402.2236328125","1402.2236328125","1402.2236328125","1446.40283203125","1446.40283203125","1446.40283203125"
"33","","","","1435.42578125","1435.42578125","1435.42578125","1445.90283203125","1445.90283203125","1445.90283203125","1402.013671875","1402.013671875","1402.013671875","1402.2236328125","1402.2236328125","1402.2236328125","1446.40283203125","1446.40283203125","1446.40283203125"
"34","","","","1435.42578125","1435.42578125","1435.42578125","1445.90283203125","1445.90283203125","1445.90283203125","1402.013671875","1402.013671875","1402.013671875","1402.2236328125","1402.2236328125","1402.2236328125","1446.40283203125","1446.40283203125","1446.40283203125"
"35","","","","1435.42578125","1435.42578125","1435.42578125","1445.90283203125","1445.90283203125","1445.90283203125","1402.013671875","1402.013671875","1402.013671875","1402.2236328125","1402.2236328125","1402.2236328125","1446.40283203125","1446.40283203125","1446.40283203125"
"36","","","","1435.42578125","1435.42578125","1435.42578125","1445.90283203125","1445.90283203125","1445.90283203125","1402.013671875","1402.013671875","1402.013671875","1402.2236328125","1402.2236328125","1402.2236328125","1446.40283203125","1446.40283203125","1446.40283203125"
"37","","","","1435.42578125","1435.42578125","1435.42578125","1445.90283203125","1445.90283203125","1445.90283203125","1402.013671875","1402.013671875","1402.013671875","1402.2236328125","1402.2236328125","1402.2236328125","1446.40283203125","1446.40283203125","1446.40283203125"
"38","","","","1435.42578125","1435.42578125","1435.42578125","1445.90283203125","1445.90283203125","1445.90283203125","1402.013671875","1402.013671875","1402.013671875","1402.2236328125","1402.2236328125","1402.2236328125","","",""
"39","","","","1435.42578125","1435.42578125","1435.42578125","1445.90283203125","1445.90283203125","1445.90283203125","1402.013671875","1402.013671875","1402.013671875","1402.2236328125","1402.2236328125","1402.2236328125","","",""
"40","","","","1435.42578125","1435.42578125","1435.42578125","","","","","","","1402.2236328125","1402.2236328125","1402.2236328125","","",""
"41","","","","1435.42578125","1435.42578125","1435.42578125","","","","","","","1402.2236328125","1402.2236328125","1402.2236328125","","",""
"42","","","","1435.42578125","1435.42578125","1435.42578125","","","","","","","1402.2236328125","1402.2236328125","1402.2236328125","","",""
"43","","","","1435.42578125","1435.42578125","1435.42578125","","","","","","","1402.2236328125","1402.2236328125","1402.2236328125","","",""
