"Step","ResNet-18_cifar10_lion_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_lion_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_lion_512 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_adafactor_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_adafactor_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_adafactor_512 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_adamw_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_adamw_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_adamw_512 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_adam-mini_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_adam-mini_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_adam-mini_512 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_sgd_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_sgd_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_sgd_512 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_adam_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_adam_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_adam_512 - memory/train_peak_gpu_memory_mb__MAX"
"0","2510.2705078125","2510.2705078125","2510.2705078125","2542.72265625","2542.72265625","2542.72265625","2555.89892578125","2555.89892578125","2555.89892578125","2511.685546875","2511.685546875","2511.685546875","2512.1455078125","2512.1455078125","2512.1455078125","2554.77392578125","2554.77392578125","2554.77392578125"
"1","2555.44775390625","2555.44775390625","2555.44775390625","2586.77490234375","2586.77490234375","2586.77490234375","2600.201171875","2600.201171875","2600.201171875","2556.73779296875","2556.73779296875","2556.73779296875","2556.69775390625","2556.69775390625","2556.69775390625","2599.326171875","2599.326171875","2599.326171875"
"2","2553.57275390625","2553.57275390625","2553.57275390625","2586.52490234375","2586.52490234375","2586.52490234375","2598.451171875","2598.451171875","2598.451171875","2554.73779296875","2554.73779296875","2554.73779296875","2555.69775390625","2555.69775390625","2555.69775390625","2597.451171875","2597.451171875","2597.451171875"
"3","2556.32275390625","2556.32275390625","2556.32275390625","2585.52490234375","2585.52490234375","2585.52490234375","2599.201171875","2599.201171875","2599.201171875","2556.48779296875","2556.48779296875","2556.48779296875","2556.19775390625","2556.19775390625","2556.19775390625","2598.701171875","2598.701171875","2598.701171875"
"4","2553.94775390625","2553.94775390625","2553.94775390625","2586.02490234375","2586.02490234375","2586.02490234375","2599.201171875","2599.201171875","2599.201171875","2554.48779296875","2554.48779296875","2554.48779296875","2555.69775390625","2555.69775390625","2555.69775390625","2597.076171875","2597.076171875","2597.076171875"
"5","2554.32275390625","2554.32275390625","2554.32275390625","2585.52490234375","2585.52490234375","2585.52490234375","2599.201171875","2599.201171875","2599.201171875","2555.98779296875","2555.98779296875","2555.98779296875","2555.69775390625","2555.69775390625","2555.69775390625","2598.8203125","2598.8203125","2598.8203125"
"6","2554.32275390625","2554.32275390625","2554.32275390625","2587.02490234375","2587.02490234375","2587.02490234375","2599.201171875","2599.201171875","2599.201171875","2555.48193359375","2555.48193359375","2555.48193359375","2555.69775390625","2555.69775390625","2555.69775390625","2597.826171875","2597.826171875","2597.826171875"
"7","2554.07275390625","2554.07275390625","2554.07275390625","2587.02490234375","2587.02490234375","2587.02490234375","2599.451171875","2599.451171875","2599.451171875","2555.23779296875","2555.23779296875","2555.23779296875","2555.69775390625","2555.69775390625","2555.69775390625","2597.451171875","2597.451171875","2597.451171875"
"8","2555.81689453125","2555.81689453125","2555.81689453125","2588.27490234375","2588.27490234375","2588.27490234375","2599.451171875","2599.451171875","2599.451171875","2555.23779296875","2555.23779296875","2555.23779296875","2555.69775390625","2555.69775390625","2555.69775390625","2597.451171875","2597.451171875","2597.451171875"
"9","2553.44775390625","2553.44775390625","2553.44775390625","2587.52490234375","2587.52490234375","2587.52490234375","2599.451171875","2599.451171875","2599.451171875","2555.23779296875","2555.23779296875","2555.23779296875","2556.69775390625","2556.69775390625","2556.69775390625","2597.951171875","2597.951171875","2597.951171875"
"10","2554.57275390625","2554.57275390625","2554.57275390625","2586.02490234375","2586.02490234375","2586.02490234375","2598.701171875","2598.701171875","2598.701171875","2555.98193359375","2555.98193359375","2555.98193359375","2556.69775390625","2556.69775390625","2556.69775390625","2599.1953125","2599.1953125","2599.1953125"
"11","2554.44775390625","2554.44775390625","2554.44775390625","2586.02490234375","2586.02490234375","2586.02490234375","2598.701171875","2598.701171875","2598.701171875","2555.98779296875","2555.98779296875","2555.98779296875","2556.69775390625","2556.69775390625","2556.69775390625","2598.201171875","2598.201171875","2598.201171875"
"12","2556.81689453125","2556.81689453125","2556.81689453125","2586.02490234375","2586.02490234375","2586.02490234375","2598.701171875","2598.701171875","2598.701171875","2555.73779296875","2555.73779296875","2555.73779296875","2556.69775390625","2556.69775390625","2556.69775390625","2598.201171875","2598.201171875","2598.201171875"
"13","2556.81689453125","2556.81689453125","2556.81689453125","2586.02490234375","2586.02490234375","2586.02490234375","2600.201171875","2600.201171875","2600.201171875","2554.73779296875","2554.73779296875","2554.73779296875","2556.69189453125","2556.69189453125","2556.69189453125","2598.201171875","2598.201171875","2598.201171875"
"14","2554.19775390625","2554.19775390625","2554.19775390625","2585.89990234375","2585.89990234375","2585.89990234375","2599.201171875","2599.201171875","2599.201171875","2554.73779296875","2554.73779296875","2554.73779296875","2556.69189453125","2556.69189453125","2556.69189453125","2598.326171875","2598.326171875","2598.326171875"
"15","2553.44775390625","2553.44775390625","2553.44775390625","2588.01904296875","2588.01904296875","2588.01904296875","2599.6953125","2599.6953125","2599.6953125","2555.73779296875","2555.73779296875","2555.73779296875","2556.69189453125","2556.69189453125","2556.69189453125","2597.326171875","2597.326171875","2597.326171875"
"16","2553.44775390625","2553.44775390625","2553.44775390625","2587.76904296875","2587.76904296875","2587.76904296875","2598.951171875","2598.951171875","2598.951171875","2555.23779296875","2555.23779296875","2555.23779296875","2556.69189453125","2556.69189453125","2556.69189453125","2598.076171875","2598.076171875","2598.076171875"
"17","2553.44775390625","2553.44775390625","2553.44775390625","2586.27490234375","2586.27490234375","2586.27490234375","2598.6953125","2598.6953125","2598.6953125","2555.23779296875","2555.23779296875","2555.23779296875","2556.94775390625","2556.94775390625","2556.94775390625","2598.076171875","2598.076171875","2598.076171875"
"18","2554.57275390625","2554.57275390625","2554.57275390625","2586.27490234375","2586.27490234375","2586.27490234375","2598.4453125","2598.4453125","2598.4453125","2555.73779296875","2555.73779296875","2555.73779296875","2556.94775390625","2556.94775390625","2556.94775390625","2598.076171875","2598.076171875","2598.076171875"
"19","2554.57275390625","2554.57275390625","2554.57275390625","2585.52490234375","2585.52490234375","2585.52490234375","2598.4453125","2598.4453125","2598.4453125","2555.73779296875","2555.73779296875","2555.73779296875","2556.94775390625","2556.94775390625","2556.94775390625","2598.076171875","2598.076171875","2598.076171875"
"20","2553.44775390625","2553.44775390625","2553.44775390625","2585.27490234375","2585.27490234375","2585.27490234375","2598.4453125","2598.4453125","2598.4453125","2555.23779296875","2555.23779296875","2555.23779296875","2556.94775390625","2556.94775390625","2556.94775390625","2598.076171875","2598.076171875","2598.076171875"
"21","2553.44775390625","2553.44775390625","2553.44775390625","2585.77490234375","2585.77490234375","2585.77490234375","2599.201171875","2599.201171875","2599.201171875","2555.73193359375","2555.73193359375","2555.73193359375","2556.94775390625","2556.94775390625","2556.94775390625","2598.826171875","2598.826171875","2598.826171875"
"22","2553.44775390625","2553.44775390625","2553.44775390625","2585.77490234375","2585.77490234375","2585.77490234375","2599.201171875","2599.201171875","2599.201171875","2555.73193359375","2555.73193359375","2555.73193359375","2556.94775390625","2556.94775390625","2556.94775390625","2598.326171875","2598.326171875","2598.326171875"
