"Step","ViT-Tiny_cifar10_lion_1024 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar10_lion_1024 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar10_lion_1024 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar10_adafactor_1024 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar10_adafactor_1024 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar10_adafactor_1024 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar10_adamw_1024 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar10_adamw_1024 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar10_adamw_1024 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar10_adam-mini_1024 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar10_adam-mini_1024 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar10_adam-mini_1024 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar10_sgd_1024 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar10_sgd_1024 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar10_sgd_1024 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar10_adam_1024 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar10_adam_1024 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar10_adam_1024 - memory/train_peak_gpu_memory_mb__MAX"
"0","9918.36181640625","9918.36181640625","9918.36181640625","9918.75439453125","9918.75439453125","9918.75439453125","9938.84130859375","9938.84130859375","9938.84130859375","9918.63623046875","9918.63623046875","9918.63623046875","9918.36181640625","9918.36181640625","9918.36181640625","9938.84130859375","9938.84130859375","9938.84130859375"
"1","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"2","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"3","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"4","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"5","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"6","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"7","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"8","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"9","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"10","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"11","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"12","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"13","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"14","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"15","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"16","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"17","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"18","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"19","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"20","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"21","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"22","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"23","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
"24","9938.84130859375","9938.84130859375","9938.84130859375","9939.23388671875","9939.23388671875","9939.23388671875","9959.32080078125","9959.32080078125","9959.32080078125","9939.11572265625","9939.11572265625","9939.11572265625","9938.84130859375","9938.84130859375","9938.84130859375","9959.32080078125","9959.32080078125","9959.32080078125"
