"Step","ViT-Tiny_cifar100_lion_512 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar100_lion_512 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar100_lion_512 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar100_adafactor_512 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar100_adafactor_512 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar100_adafactor_512 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar100_adamw_512 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar100_adamw_512 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar100_adamw_512 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar100_adam-mini_512 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar100_adam-mini_512 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar100_adam-mini_512 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar100_sgd_512 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar100_sgd_512 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar100_sgd_512 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar100_adam_512 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar100_adam_512 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar100_adam_512 - memory/train_peak_gpu_memory_mb__MAX"
"0","5022.8212890625","5022.8212890625","5022.8212890625","5023.2138671875","5023.2138671875","5023.2138671875","5043.36669921875","5043.36669921875","5043.36669921875","5023.095703125","5023.095703125","5023.095703125","5022.8212890625","5022.8212890625","5022.8212890625","5043.36669921875","5043.36669921875","5043.36669921875"
"1","5043.36669921875","5043.36669921875","5043.36669921875","5043.75927734375","5043.75927734375","5043.75927734375","5063.912109375","5063.912109375","5063.912109375","5043.64111328125","5043.64111328125","5043.64111328125","5043.36669921875","5043.36669921875","5043.36669921875","5063.912109375","5063.912109375","5063.912109375"
"2","5043.36669921875","5043.36669921875","5043.36669921875","5043.75927734375","5043.75927734375","5043.75927734375","5063.912109375","5063.912109375","5063.912109375","5043.64111328125","5043.64111328125","5043.64111328125","5043.36669921875","5043.36669921875","5043.36669921875","5063.912109375","5063.912109375","5063.912109375"
"3","5043.36669921875","5043.36669921875","5043.36669921875","5043.75927734375","5043.75927734375","5043.75927734375","5063.912109375","5063.912109375","5063.912109375","5043.64111328125","5043.64111328125","5043.64111328125","5043.36669921875","5043.36669921875","5043.36669921875","5063.912109375","5063.912109375","5063.912109375"
"4","5043.36669921875","5043.36669921875","5043.36669921875","5043.75927734375","5043.75927734375","5043.75927734375","5063.912109375","5063.912109375","5063.912109375","5043.64111328125","5043.64111328125","5043.64111328125","5043.36669921875","5043.36669921875","5043.36669921875","5063.912109375","5063.912109375","5063.912109375"
"5","5043.36669921875","5043.36669921875","5043.36669921875","5043.75927734375","5043.75927734375","5043.75927734375","5063.912109375","5063.912109375","5063.912109375","5043.64111328125","5043.64111328125","5043.64111328125","5043.36669921875","5043.36669921875","5043.36669921875","5063.912109375","5063.912109375","5063.912109375"
"6","5043.36669921875","5043.36669921875","5043.36669921875","5043.75927734375","5043.75927734375","5043.75927734375","5063.912109375","5063.912109375","5063.912109375","5043.64111328125","5043.64111328125","5043.64111328125","5043.36669921875","5043.36669921875","5043.36669921875","5063.912109375","5063.912109375","5063.912109375"
"7","5043.36669921875","5043.36669921875","5043.36669921875","5043.75927734375","5043.75927734375","5043.75927734375","5063.912109375","5063.912109375","5063.912109375","5043.64111328125","5043.64111328125","5043.64111328125","5043.36669921875","5043.36669921875","5043.36669921875","5063.912109375","5063.912109375","5063.912109375"
"8","5043.36669921875","5043.36669921875","5043.36669921875","5043.75927734375","5043.75927734375","5043.75927734375","5063.912109375","5063.912109375","5063.912109375","5043.64111328125","5043.64111328125","5043.64111328125","5043.36669921875","5043.36669921875","5043.36669921875","5063.912109375","5063.912109375","5063.912109375"
"9","5043.36669921875","5043.36669921875","5043.36669921875","5043.75927734375","5043.75927734375","5043.75927734375","5063.912109375","5063.912109375","5063.912109375","5043.64111328125","5043.64111328125","5043.64111328125","5043.36669921875","5043.36669921875","5043.36669921875","5063.912109375","5063.912109375","5063.912109375"
