"Step","ResNet-18_cifar100_lion_256 - train/loss","ResNet-18_cifar100_lion_256 - train/loss__MIN","ResNet-18_cifar100_lion_256 - train/loss__MAX","ResNet-18_cifar100_adafactor_256 - train/loss","ResNet-18_cifar100_adafactor_256 - train/loss__MIN","ResNet-18_cifar100_adafactor_256 - train/loss__MAX","ResNet-18_cifar100_adamw_256 - train/loss","ResNet-18_cifar100_adamw_256 - train/loss__MIN","ResNet-18_cifar100_adamw_256 - train/loss__MAX","ResNet-18_cifar100_adam-mini_256 - train/loss","ResNet-18_cifar100_adam-mini_256 - train/loss__MIN","ResNet-18_cifar100_adam-mini_256 - train/loss__MAX","ResNet-18_cifar100_sgd_256 - train/loss","ResNet-18_cifar100_sgd_256 - train/loss__MIN","ResNet-18_cifar100_sgd_256 - train/loss__MAX","ResNet-18_cifar100_adam_256 - train/loss","ResNet-18_cifar100_adam_256 - train/loss__MIN","ResNet-18_cifar100_adam_256 - train/loss__MAX"
"0","4.129120423126221","4.129120423126221","4.129120423126221","4.0190846080780025","4.0190846080780025","4.0190846080780025","3.969178916931152","3.969178916931152","3.969178916931152","3.9657281414031984","3.9657281414031984","3.9657281414031984","4.23840453414917","4.23840453414917","4.23840453414917","3.981708793258667","3.981708793258667","3.981708793258667"
"1","3.3850928985595705","3.3850928985595705","3.3850928985595705","3.377936266326904","3.377936266326904","3.377936266326904","3.355584465789795","3.355584465789795","3.355584465789795","3.357660121154785","3.357660121154785","3.357660121154785","3.628892700958252","3.628892700958252","3.628892700958252","3.385841552734375","3.385841552734375","3.385841552734375"
"2","2.7972049629211426","2.7972049629211426","2.7972049629211426","2.9278062953948973","2.9278062953948973","2.9278062953948973","2.9094138763427733","2.9094138763427733","2.9094138763427733","2.9227957191467286","2.9227957191467286","2.9227957191467286","3.170116617202759","3.170116617202759","3.170116617202759","2.9283206344604493","2.9283206344604493","2.9283206344604493"
"3","2.3446547775268556","2.3446547775268556","2.3446547775268556","2.5717000328063966","2.5717000328063966","2.5717000328063966","2.5521398780822753","2.5521398780822753","2.5521398780822753","2.5888982383728028","2.5888982383728028","2.5888982383728028","2.788148458099365","2.788148458099365","2.788148458099365","2.561888558578491","2.561888558578491","2.561888558578491"
"4","2.007801461982727","2.007801461982727","2.007801461982727","2.3085396224975585","2.3085396224975585","2.3085396224975585","2.2680458572387696","2.2680458572387696","2.2680458572387696","2.3179738830566405","2.3179738830566405","2.3179738830566405","2.4529444961547853","2.4529444961547853","2.4529444961547853","2.2590146541595457","2.2590146541595457","2.2590146541595457"
"5","1.7432319728851318","1.7432319728851318","1.7432319728851318","2.0891898063659666","2.0891898063659666","2.0891898063659666","2.04258740196228","2.04258740196228","2.04258740196228","2.1106831703186035","2.1106831703186035","2.1106831703186035","2.203099324798584","2.203099324798584","2.203099324798584","2.0371346214294435","2.0371346214294435","2.0371346214294435"
"6","1.519887103843689","1.519887103843689","1.519887103843689","1.8513664459228516","1.8513664459228516","1.8513664459228516","1.7977489776611328","1.7977489776611328","1.7977489776611328","1.8608552932739257","1.8608552932739257","1.8608552932739257","1.9369359241485595","1.9369359241485595","1.9369359241485595","1.7962804893493651","1.7962804893493651","1.7962804893493651"
"7","1.3247581995010376","1.3247581995010376","1.3247581995010376","1.6622021018981934","1.6622021018981934","1.6622021018981934","1.618586594390869","1.618586594390869","1.618586594390869","1.6785829357147217","1.6785829357147217","1.6785829357147217","1.7302491147994996","1.7302491147994996","1.7302491147994996","1.61747626953125","1.61747626953125","1.61747626953125"
"8","1.17661313457489","1.17661313457489","1.17661313457489","1.5244207948684692","1.5244207948684692","1.5244207948684692","1.474953398513794","1.474953398513794","1.474953398513794","1.5329554718017577","1.5329554718017577","1.5329554718017577","1.5702842910766601","1.5702842910766601","1.5702842910766601","1.4892601665496825","1.4892601665496825","1.4892601665496825"
"9","1.0398943958282472","1.0398943958282472","1.0398943958282472","1.3891569316864014","1.3891569316864014","1.3891569316864014","1.3450418336868286","1.3450418336868286","1.3450418336868286","1.404638064956665","1.404638064956665","1.404638064956665","1.4418336589813232","1.4418336589813232","1.4418336589813232","1.3482716911315917","1.3482716911315917","1.3482716911315917"
