"Step","ViT-Tiny_cifar100_lion_512 - train/loss","ViT-Tiny_cifar100_lion_512 - train/loss__MIN","ViT-Tiny_cifar100_lion_512 - train/loss__MAX","ViT-Tiny_cifar100_adafactor_512 - train/loss","ViT-Tiny_cifar100_adafactor_512 - train/loss__MIN","ViT-Tiny_cifar100_adafactor_512 - train/loss__MAX","ViT-Tiny_cifar100_adamw_512 - train/loss","ViT-Tiny_cifar100_adamw_512 - train/loss__MIN","ViT-Tiny_cifar100_adamw_512 - train/loss__MAX","ViT-Tiny_cifar100_adam-mini_512 - train/loss","ViT-Tiny_cifar100_adam-mini_512 - train/loss__MIN","ViT-Tiny_cifar100_adam-mini_512 - train/loss__MAX","ViT-Tiny_cifar100_sgd_512 - train/loss","ViT-Tiny_cifar100_sgd_512 - train/loss__MIN","ViT-Tiny_cifar100_sgd_512 - train/loss__MAX","ViT-Tiny_cifar100_adam_512 - train/loss","ViT-Tiny_cifar100_adam_512 - train/loss__MIN","ViT-Tiny_cifar100_adam_512 - train/loss__MAX"
"0","4.37510937423706","4.37510937423706","4.37510937423706","4.3839268859863285","4.3839268859863285","4.3839268859863285","4.3215418022155765","4.3215418022155765","4.3215418022155765","4.345008152008057","4.345008152008057","4.345008152008057","4.629797177124024","4.629797177124024","4.629797177124024","4.354524987792969","4.354524987792969","4.354524987792969"
"1","4.07985479888916","4.07985479888916","4.07985479888916","4.089266873168945","4.089266873168945","4.089266873168945","3.9916846210479737","3.9916846210479737","3.9916846210479737","4.032378212738037","4.032378212738037","4.032378212738037","4.575830553436279","4.575830553436279","4.575830553436279","4.073805672454834","4.073805672454834","4.073805672454834"
"2","3.7853976947784425","3.7853976947784425","3.7853976947784425","3.824080478668213","3.824080478668213","3.824080478668213","3.7120018966674806","3.7120018966674806","3.7120018966674806","3.760031993865967","3.760031993865967","3.760031993865967","4.5042448852539065","4.5042448852539065","4.5042448852539065","3.8074342937469483","3.8074342937469483","3.8074342937469483"
"3","3.532735047149658","3.532735047149658","3.532735047149658","3.613022538757324","3.613022538757324","3.613022538757324","3.47797368850708","3.47797368850708","3.47797368850708","3.5313554008483887","3.5313554008483887","3.5313554008483887","4.441854151916504","4.441854151916504","4.441854151916504","3.5840314655303955","3.5840314655303955","3.5840314655303955"
"4","3.321704257583618","3.321704257583618","3.321704257583618","3.409162664794922","3.409162664794922","3.409162664794922","3.2567165729522705","3.2567165729522705","3.2567165729522705","3.336845858001709","3.336845858001709","3.336845858001709","4.388110990905762","4.388110990905762","4.388110990905762","3.3857476341247557","3.3857476341247557","3.3857476341247557"
"5","3.1286696365356446","3.1286696365356446","3.1286696365356446","3.2199290439605712","3.2199290439605712","3.2199290439605712","3.0896192428588867","3.0896192428588867","3.0896192428588867","3.1698213459014895","3.1698213459014895","3.1698213459014895","4.339600880432129","4.339600880432129","4.339600880432129","3.2071558811187746","3.2071558811187746","3.2071558811187746"
"6","2.9457916374206543","2.9457916374206543","2.9457916374206543","3.0487839965820314","3.0487839965820314","3.0487839965820314","2.9401848369598387","2.9401848369598387","2.9401848369598387","2.999760088348389","2.999760088348389","2.999760088348389","4.2947684638977055","4.2947684638977055","4.2947684638977055","3.0233252098083496","3.0233252098083496","3.0233252098083496"
"7","2.7784983436584474","2.7784983436584474","2.7784983436584474","2.9004860076904295","2.9004860076904295","2.9004860076904295","2.8296225563049315","2.8296225563049315","2.8296225563049315","2.8472168968200684","2.8472168968200684","2.8472168968200684","4.256496322631836","4.256496322631836","4.256496322631836","2.881094770812988","2.881094770812988","2.881094770812988"
"8","2.638067163848877","2.638067163848877","2.638067163848877","2.769282775878906","2.769282775878906","2.769282775878906","2.7063768398284913","2.7063768398284913","2.7063768398284913","2.7467681575775145","2.7467681575775145","2.7467681575775145","4.220930799865723","4.220930799865723","4.220930799865723","2.7656509738922117","2.7656509738922117","2.7656509738922117"
"9","2.4892352684020995","2.4892352684020995","2.4892352684020995","2.668419435119629","2.668419435119629","2.668419435119629","2.6148421188354494","2.6148421188354494","2.6148421188354494","2.636337586212158","2.636337586212158","2.636337586212158","4.186311995697022","4.186311995697022","4.186311995697022","2.652005699157715","2.652005699157715","2.652005699157715"
"10","2.3567193084716798","2.3567193084716798","2.3567193084716798","2.5589741554260255","2.5589741554260255","2.5589741554260255","2.513522243118286","2.513522243118286","2.513522243118286","2.5457964958190917","2.5457964958190917","2.5457964958190917","4.151808001708984","4.151808001708984","4.151808001708984","2.5437914054870605","2.5437914054870605","2.5437914054870605"
"11","2.207281495666504","2.207281495666504","2.207281495666504","2.4644798316955567","2.4644798316955567","2.4644798316955567","2.4060547401428223","2.4060547401428223","2.4060547401428223","2.438257684326172","2.438257684326172","2.438257684326172","4.118331832122803","4.118331832122803","4.118331832122803","2.4604383319854737","2.4604383319854737","2.4604383319854737"
"12","2.058567002105713","2.058567002105713","2.058567002105713","2.378350901031494","2.378350901031494","2.378350901031494","2.331762725830078","2.331762725830078","2.331762725830078","2.344450267791748","2.344450267791748","2.344450267791748","4.088528873443604","4.088528873443604","4.088528873443604","2.3635433303833007","2.3635433303833007","2.3635433303833007"
"13","1.914944200515747","1.914944200515747","1.914944200515747","2.282339779663086","2.282339779663086","2.282339779663086","2.2490335441589355","2.2490335441589355","2.2490335441589355","2.257610955810547","2.257610955810547","2.257610955810547","4.057631394195557","4.057631394195557","4.057631394195557","2.267667684173584","2.267667684173584","2.267667684173584"
"14","1.7752007064819335","1.7752007064819335","1.7752007064819335","2.204542123031616","2.204542123031616","2.204542123031616","2.161081201171875","2.161081201171875","2.161081201171875","2.173210915374756","2.173210915374756","2.173210915374756","4.031310248565674","4.031310248565674","4.031310248565674","2.191114149475098","2.191114149475098","2.191114149475098"
"15","1.6255509632110596","1.6255509632110596","1.6255509632110596","2.134136559677124","2.134136559677124","2.134136559677124","2.0751571283340455","2.0751571283340455","2.0751571283340455","2.086413526916504","2.086413526916504","2.086413526916504","4.0067459548950195","4.0067459548950195","4.0067459548950195","2.104423623275757","2.104423623275757","2.104423623275757"
"16","1.4674167888641358","1.4674167888641358","1.4674167888641358","2.0715031383514404","2.0715031383514404","2.0715031383514404","2.014965077781677","2.014965077781677","2.014965077781677","1.9947972341537477","1.9947972341537477","1.9947972341537477","3.980233106994629","3.980233106994629","3.980233106994629","2.0175192680358887","2.0175192680358887","2.0175192680358887"
"17","1.3256525718688965","1.3256525718688965","1.3256525718688965","1.985685235595703","1.985685235595703","1.985685235595703","1.909037177658081","1.909037177658081","1.909037177658081","1.911767366027832","1.911767366027832","1.911767366027832","3.956443325805664","3.956443325805664","3.956443325805664","1.9555857288360596","1.9555857288360596","1.9555857288360596"
"18","1.191633522415161","1.191633522415161","1.191633522415161","1.9100174823760987","1.9100174823760987","1.9100174823760987","1.8295614191055298","1.8295614191055298","1.8295614191055298","1.82278182220459","1.82278182220459","1.82278182220459","3.936254451751709","3.936254451751709","3.936254451751709","1.8894419780731202","1.8894419780731202","1.8894419780731202"
"19","1.0548580516815185","1.0548580516815185","1.0548580516815185","1.8413675098419189","1.8413675098419189","1.8413675098419189","1.744758709716797","1.744758709716797","1.744758709716797","1.7616828981399537","1.7616828981399537","1.7616828981399537","3.9144127334594727","3.9144127334594727","3.9144127334594727","1.8138225358963014","1.8138225358963014","1.8138225358963014"
"20","0.9451860243797302","0.9451860243797302","0.9451860243797302","1.7748142780303955","1.7748142780303955","1.7748142780303955","1.6829007097244262","1.6829007097244262","1.6829007097244262","1.6870268545150757","1.6870268545150757","1.6870268545150757","3.8947014068603516","3.8947014068603516","3.8947014068603516","1.727276135635376","1.727276135635376","1.727276135635376"
"21","0.832471067237854","0.832471067237854","0.832471067237854","1.7203024612426758","1.7203024612426758","1.7203024612426758","1.6048871952056885","1.6048871952056885","1.6048871952056885","1.60777113571167","1.60777113571167","1.60777113571167","3.8720999252319337","3.8720999252319337","3.8720999252319337","1.6599802310943603","1.6599802310943603","1.6599802310943603"
"22","0.7336285251617432","0.7336285251617432","0.7336285251617432","1.6295785173416137","1.6295785173416137","1.6295785173416137","1.5156279804229735","1.5156279804229735","1.5156279804229735","1.5262865077972412","1.5262865077972412","1.5262865077972412","3.857236873626709","3.857236873626709","3.857236873626709","1.5908743782043457","1.5908743782043457","1.5908743782043457"
"23","0.6479263059616089","0.6479263059616089","0.6479263059616089","1.5648774284362792","1.5648774284362792","1.5648774284362792","1.428695269393921","1.428695269393921","1.428695269393921","1.4481393718719482","1.4481393718719482","1.4481393718719482","3.8374852672576902","3.8374852672576902","3.8374852672576902","1.5036279249191284","1.5036279249191284","1.5036279249191284"
"24","0.5837528820037842","0.5837528820037842","0.5837528820037842","1.5108027828216553","1.5108027828216553","1.5108027828216553","1.3623404773712158","1.3623404773712158","1.3623404773712158","1.378937328338623","1.378937328338623","1.378937328338623","3.821363262939453","3.821363262939453","3.821363262939453","1.4421379955291749","1.4421379955291749","1.4421379955291749"
"25","0.5443229082107544","0.5443229082107544","0.5443229082107544","1.4284564239501953","1.4284564239501953","1.4284564239501953","1.2655111442565918","1.2655111442565918","1.2655111442565918","1.2879344549179077","1.2879344549179077","1.2879344549179077","3.8071644218444822","3.8071644218444822","3.8071644218444822","1.3787687759399414","1.3787687759399414","1.3787687759399414"
"26","0.504462574005127","0.504462574005127","0.504462574005127","1.3644269430160523","1.3644269430160523","1.3644269430160523","1.1895949546813964","1.1895949546813964","1.1895949546813964","1.2228530754089355","1.2228530754089355","1.2228530754089355","3.7902631587982176","3.7902631587982176","3.7902631587982176","1.2969676362991334","1.2969676362991334","1.2969676362991334"
