"Step","ResNet-18_cifar10_lion_256 - train/loss","ResNet-18_cifar10_lion_256 - train/loss__MIN","ResNet-18_cifar10_lion_256 - train/loss__MAX","ResNet-18_cifar10_adafactor_256 - train/loss","ResNet-18_cifar10_adafactor_256 - train/loss__MIN","ResNet-18_cifar10_adafactor_256 - train/loss__MAX","ResNet-18_cifar10_adamw_256 - train/loss","ResNet-18_cifar10_adamw_256 - train/loss__MIN","ResNet-18_cifar10_adamw_256 - train/loss__MAX","ResNet-18_cifar10_adam-mini_256 - train/loss","ResNet-18_cifar10_adam-mini_256 - train/loss__MIN","ResNet-18_cifar10_adam-mini_256 - train/loss__MAX","ResNet-18_cifar10_sgd_256 - train/loss","ResNet-18_cifar10_sgd_256 - train/loss__MIN","ResNet-18_cifar10_sgd_256 - train/loss__MAX","ResNet-18_cifar10_adam_256 - train/loss","ResNet-18_cifar10_adam_256 - train/loss__MIN","ResNet-18_cifar10_adam_256 - train/loss__MAX"
"0","1.7160680335998535","1.7160680335998535","1.7160680335998535","1.672485057067871","1.672485057067871","1.672485057067871","1.6156851531982421","1.6156851531982421","1.6156851531982421","1.6225192432403563","1.6225192432403563","1.6225192432403563","1.7987327899932861","1.7987327899932861","1.7987327899932861","1.6432503826141358","1.6432503826141358","1.6432503826141358"
"1","1.220456938266754","1.220456938266754","1.220456938266754","1.2802143495559692","1.2802143495559692","1.2802143495559692","1.2707393577575683","1.2707393577575683","1.2707393577575683","1.3055721527099609","1.3055721527099609","1.3055721527099609","1.3659357501983642","1.3659357501983642","1.3659357501983642","1.290635973739624","1.290635973739624","1.290635973739624"
"2","0.9300734466552735","0.9300734466552735","0.9300734466552735","1.0408512966156005","1.0408512966156005","1.0408512966156005","1.0356315853118896","1.0356315853118896","1.0356315853118896","1.0535392486572266","1.0535392486572266","1.0535392486572266","1.1107329698562622","1.1107329698562622","1.1107329698562622","1.0501404912948609","1.0501404912948609","1.0501404912948609"
"3","0.7233977116584778","0.7233977116584778","0.7233977116584778","0.8489472712516785","0.8489472712516785","0.8489472712516785","0.8709349390983582","0.8709349390983582","0.8709349390983582","0.8784598961830139","0.8784598961830139","0.8784598961830139","0.8988366526603698","0.8988366526603698","0.8988366526603698","0.8673573304176331","0.8673573304176331","0.8673573304176331"
"4","0.5883234592437744","0.5883234592437744","0.5883234592437744","0.7376289443016052","0.7376289443016052","0.7376289443016052","0.7367773182868957","0.7367773182868957","0.7367773182868957","0.7431939485549927","0.7431939485549927","0.7431939485549927","0.7472412541389465","0.7472412541389465","0.7472412541389465","0.7400493249893189","0.7400493249893189","0.7400493249893189"
"5","0.5020753814697265","0.5020753814697265","0.5020753814697265","0.6438796194076538","0.6438796194076538","0.6438796194076538","0.6486497610092163","0.6486497610092163","0.6486497610092163","0.6541384291648865","0.6541384291648865","0.6541384291648865","0.6556141662597657","0.6556141662597657","0.6556141662597657","0.6488634674072266","0.6488634674072266","0.6488634674072266"
"6","0.43010420031547547","0.43010420031547547","0.43010420031547547","0.5655214239120483","0.5655214239120483","0.5655214239120483","0.57104870967865","0.57104870967865","0.57104870967865","0.5721681344032288","0.5721681344032288","0.5721681344032288","0.5641045870304108","0.5641045870304108","0.5641045870304108","0.5677484894752503","0.5677484894752503","0.5677484894752503"
"7","0.36793220558166506","0.36793220558166506","0.36793220558166506","0.5034298718452453","0.5034298718452453","0.5034298718452453","0.5029053890705109","0.5029053890705109","0.5029053890705109","0.5096316061496735","0.5096316061496735","0.5096316061496735","0.49735963153839113","0.49735963153839113","0.49735963153839113","0.5017955139160156","0.5017955139160156","0.5017955139160156"
"8","0.3281965213775635","0.3281965213775635","0.3281965213775635","0.4668721950054169","0.4668721950054169","0.4668721950054169","0.46245939269065856","0.46245939269065856","0.46245939269065856","0.461925341796875","0.461925341796875","0.461925341796875","0.45081337852478026","0.45081337852478026","0.45081337852478026","0.4576382924556732","0.4576382924556732","0.4576382924556732"
"9","0.28767609686851503","0.28767609686851503","0.28767609686851503","0.41161478700637816","0.41161478700637816","0.41161478700637816","0.41882308130264284","0.41882308130264284","0.41882308130264284","0.4252090769767761","0.4252090769767761","0.4252090769767761","0.4069543032169342","0.4069543032169342","0.4069543032169342","0.4148166512489319","0.4148166512489319","0.4148166512489319"
"10","0.2658415446281433","0.2658415446281433","0.2658415446281433","0.3810327929496765","0.3810327929496765","0.3810327929496765","0.38576423749923705","0.38576423749923705","0.38576423749923705","0.39206608271598814","0.39206608271598814","0.39206608271598814","0.3806514934539795","0.3806514934539795","0.3806514934539795","0.3858097192764282","0.3858097192764282","0.3858097192764282"
"11","0.234168390417099","0.234168390417099","0.234168390417099","0.346137415599823","0.346137415599823","0.346137415599823","0.35720870599746707","0.35720870599746707","0.35720870599746707","0.3569443101882935","0.3569443101882935","0.3569443101882935","0.3527411499500275","0.3527411499500275","0.3527411499500275","0.3613081439971924","0.3613081439971924","0.3613081439971924"
"12","0.21624622507095337","0.21624622507095337","0.21624622507095337","0.32634572381973265","0.32634572381973265","0.32634572381973265","0.3270781023979187","0.3270781023979187","0.3270781023979187","0.34711219367980956","0.34711219367980956","0.34711219367980956","0.3338399790763855","0.3338399790763855","0.3338399790763855","0.33043061819076536","0.33043061819076536","0.33043061819076536"
"13","0.19266540942192079","0.19266540942192079","0.19266540942192079","0.298319371843338","0.298319371843338","0.298319371843338","0.302481432056427","0.302481432056427","0.302481432056427","0.3192781360387802","0.3192781360387802","0.3192781360387802","0.31131984848976135","0.31131984848976135","0.31131984848976135","0.3007042908668518","0.3007042908668518","0.3007042908668518"
"14","0.17712862515449523","0.17712862515449523","0.17712862515449523","0.28106876044273377","0.28106876044273377","0.28106876044273377","0.2852530730247498","0.2852530730247498","0.2852530730247498","0.29701261167526244","0.29701261167526244","0.29701261167526244","0.29097108502388","0.29097108502388","0.29097108502388","0.2870132452011108","0.2870132452011108","0.2870132452011108"
"15","0.16391576182842255","0.16391576182842255","0.16391576182842255","0.2607607407569885","0.2607607407569885","0.2607607407569885","0.27050725417137145","0.27050725417137145","0.27050725417137145","0.2794907859802246","0.2794907859802246","0.2794907859802246","0.2767973483324051","0.2767973483324051","0.2767973483324051","0.26839036855697634","0.26839036855697634","0.26839036855697634"
"16","0.15074151298999786","0.15074151298999786","0.15074151298999786","0.2387675703048706","0.2387675703048706","0.2387675703048706","0.24941841480731963","0.24941841480731963","0.24941841480731963","0.26249300808906556","0.26249300808906556","0.26249300808906556","0.25820553278923036","0.25820553278923036","0.25820553278923036","0.25169109506607057","0.25169109506607057","0.25169109506607057"
"17","0.14004487085342407","0.14004487085342407","0.14004487085342407","0.22003731279373168","0.22003731279373168","0.22003731279373168","0.23236209325790405","0.23236209325790405","0.23236209325790405","0.2491102672100067","0.2491102672100067","0.2491102672100067","0.2450295214176178","0.2450295214176178","0.2450295214176178","0.23722816181182863","0.23722816181182863","0.23722816181182863"
"18","0.13512265372276305","0.13512265372276305","0.13512265372276305","0.2073194121837616","0.2073194121837616","0.2073194121837616","0.22650159401893616","0.22650159401893616","0.22650159401893616","0.23477939743995666","0.23477939743995666","0.23477939743995666","0.24113977642059325","0.24113977642059325","0.24113977642059325","0.21912943788766862","0.21912943788766862","0.21912943788766862"
"19","0.12196936855316162","0.12196936855316162","0.12196936855316162","0.19647778606414795","0.19647778606414795","0.19647778606414795","0.20661043744087218","0.20661043744087218","0.20661043744087218","0.2171722541332245","0.2171722541332245","0.2171722541332245","0.21589175555706025","0.21589175555706025","0.21589175555706025","0.20826247711181642","0.20826247711181642","0.20826247711181642"
"20","0.113780113697052","0.113780113697052","0.113780113697052","0.17973908023834229","0.17973908023834229","0.17973908023834229","0.2002266333580017","0.2002266333580017","0.2002266333580017","0.2015456974029541","0.2015456974029541","0.2015456974029541","0.21464570469856262","0.21464570469856262","0.21464570469856262","0.2025015634059906","0.2025015634059906","0.2025015634059906"
"21","0.1117669748723507","0.1117669748723507","0.1117669748723507","0.1729559503555298","0.1729559503555298","0.1729559503555298","0.18695355105400085","0.18695355105400085","0.18695355105400085","0.19783370306491851","0.19783370306491851","0.19783370306491851","0.20886927800178529","0.20886927800178529","0.20886927800178529","0.18220022721290588","0.18220022721290588","0.18220022721290588"
"22","0.10438432928919793","0.10438432928919793","0.10438432928919793","0.16021088724136354","0.16021088724136354","0.16021088724136354","0.17606675052642823","0.17606675052642823","0.17606675052642823","0.1831149709224701","0.1831149709224701","0.1831149709224701","0.1962060634613037","0.1962060634613037","0.1962060634613037","0.17977698692083358","0.17977698692083358","0.17977698692083358"
"23","0.09604379734396934","0.09604379734396934","0.09604379734396934","0.1506610226392746","0.1506610226392746","0.1506610226392746","0.1664907597541809","0.1664907597541809","0.1664907597541809","0.1718835210800171","0.1718835210800171","0.1718835210800171","0.18979815623760224","0.18979815623760224","0.18979815623760224","0.17089005126953125","0.17089005126953125","0.17089005126953125"
"24","0.09008044283390045","0.09008044283390045","0.09008044283390045","0.1383171885251999","0.1383171885251999","0.1383171885251999","0.16156055743694306","0.16156055743694306","0.16156055743694306","0.15721655819416047","0.15721655819416047","0.15721655819416047","0.18635147068500518","0.18635147068500518","0.18635147068500518","0.15120533026456834","0.15120533026456834","0.15120533026456834"
"25","0.0863786486506462","0.0863786486506462","0.0863786486506462","0.13230059835910798","0.13230059835910798","0.13230059835910798","0.15046959433555604","0.15046959433555604","0.15046959433555604","0.15451128218173982","0.15451128218173982","0.15451128218173982","0.17767571120262146","0.17767571120262146","0.17767571120262146","0.15071173729896545","0.15071173729896545","0.15071173729896545"
"26","0.08272800068855285","0.08272800068855285","0.08272800068855285","0.12482640507221222","0.12482640507221222","0.12482640507221222","0.13449925079345704","0.13449925079345704","0.13449925079345704","0.14514658095836638","0.14514658095836638","0.14514658095836638","0.17832137248516083","0.17832137248516083","0.17832137248516083","0.14115977973937988","0.14115977973937988","0.14115977973937988"
"27","0.07807335871458053","0.07807335871458053","0.07807335871458053","0.11282181632518769","0.11282181632518769","0.11282181632518769","0.1279564113855362","0.1279564113855362","0.1279564113855362","0.13905478570461274","0.13905478570461274","0.13905478570461274","0.1676554162502289","0.1676554162502289","0.1676554162502289","0.13073825738430023","0.13073825738430023","0.13073825738430023"
"28","0.07593778824210166","0.07593778824210166","0.07593778824210166","0.11019309023618698","0.11019309023618698","0.11019309023618698","0.12685821344852447","0.12685821344852447","0.12685821344852447","0.13922388577461242","0.13922388577461242","0.13922388577461242","0.15693921666145325","0.15693921666145325","0.15693921666145325","0.13188268305063247","0.13188268305063247","0.13188268305063247"
"29","","","","0.10522848714888096","0.10522848714888096","0.10522848714888096","0.12404910234212875","0.12404910234212875","0.12404910234212875","0.13068851070404053","0.13068851070404053","0.13068851070404053","0.1580725828409195","0.1580725828409195","0.1580725828409195","0.11890281468629837","0.11890281468629837","0.11890281468629837"
"30","","","","0.0981799580335617","0.0981799580335617","0.0981799580335617","0.1078230313539505","0.1078230313539505","0.1078230313539505","0.12172611069679261","0.12172611069679261","0.12172611069679261","0.1525326786994934","0.1525326786994934","0.1525326786994934","0.10831142349243164","0.10831142349243164","0.10831142349243164"
"31","","","","0.09785066745281219","0.09785066745281219","0.09785066745281219","0.10607584052085876","0.10607584052085876","0.10607584052085876","0.11811899795532227","0.11811899795532227","0.11811899795532227","0.14517062630653382","0.14517062630653382","0.14517062630653382","0.11608560366630555","0.11608560366630555","0.11608560366630555"
"32","","","","0.08329921765327454","0.08329921765327454","0.08329921765327454","0.09905011384487152","0.09905011384487152","0.09905011384487152","0.10795820343494415","0.10795820343494415","0.10795820343494415","0.1497896535396576","0.1497896535396576","0.1497896535396576","0.10378312290906906","0.10378312290906906","0.10378312290906906"
"33","","","","0.08542302408218384","0.08542302408218384","0.08542302408218384","0.09628424146175385","0.09628424146175385","0.09628424146175385","0.10848145897388459","0.10848145897388459","0.10848145897388459","0.1357846332550049","0.1357846332550049","0.1357846332550049","0.1033527109503746","0.1033527109503746","0.1033527109503746"
"34","","","","0.07342734847068787","0.07342734847068787","0.07342734847068787","0.09804977260231972","0.09804977260231972","0.09804977260231972","0.09800945624113083","0.09800945624113083","0.09800945624113083","0.14665677961111068","0.14665677961111068","0.14665677961111068","0.09145491907596588","0.09145491907596588","0.09145491907596588"
"35","","","","0.07676318707466126","0.07676318707466126","0.07676318707466126","0.08729129670858383","0.08729129670858383","0.08729129670858383","0.09449527548551559","0.09449527548551559","0.09449527548551559","0.13932569422721863","0.13932569422721863","0.13932569422721863","0.09193557451963424","0.09193557451963424","0.09193557451963424"
"36","","","","0.07007490080595016","0.07007490080595016","0.07007490080595016","0.09256646181344987","0.09256646181344987","0.09256646181344987","0.08748008003234864","0.08748008003234864","0.08748008003234864","0.13686864261627196","0.13686864261627196","0.13686864261627196","0.08562639946937561","0.08562639946937561","0.08562639946937561"
"37","","","","0.07070858006477355","0.07070858006477355","0.07070858006477355","0.07880735285282135","0.07880735285282135","0.07880735285282135","","","","0.13406671710014342","0.13406671710014342","0.13406671710014342","0.08317206827402115","0.08317206827402115","0.08317206827402115"
"38","","","","0.06496678916215896","0.06496678916215896","0.06496678916215896","0.08156238560378551","0.08156238560378551","0.08156238560378551","","","","0.13533478093147278","0.13533478093147278","0.13533478093147278","0.07984447059929371","0.07984447059929371","0.07984447059929371"
"39","","","","0.0600782476067543","0.0600782476067543","0.0600782476067543","0.0738806078672409","0.0738806078672409","0.0738806078672409","","","","0.12433952367305756","0.12433952367305756","0.12433952367305756","0.07050202680826187","0.07050202680826187","0.07050202680826187"
"40","","","","0.06006543749570847","0.06006543749570847","0.06006543749570847","0.06762471772432327","0.06762471772432327","0.06762471772432327","","","","0.12574966621398925","0.12574966621398925","0.12574966621398925","0.07302551505565644","0.07302551505565644","0.07302551505565644"
"41","","","","0.060096770095825196","0.060096770095825196","0.060096770095825196","0.07529706518650055","0.07529706518650055","0.07529706518650055","","","","0.1335302857518196","0.1335302857518196","0.1335302857518196","0.07081124214529991","0.07081124214529991","0.07081124214529991"
"42","","","","0.05856268244981766","0.05856268244981766","0.05856268244981766","0.06479202449023723","0.06479202449023723","0.06479202449023723","","","","0.1179021008849144","0.1179021008849144","0.1179021008849144","","",""
"43","","","","0.05632982167303562","0.05632982167303562","0.05632982167303562","0.058629052966833115","0.058629052966833115","0.058629052966833115","","","","0.12103187568187714","0.12103187568187714","0.12103187568187714","","",""
"44","","","","0.04868187080621719","0.04868187080621719","0.04868187080621719","0.06583003107905389","0.06583003107905389","0.06583003107905389","","","","0.1226588202238083","0.1226588202238083","0.1226588202238083","","",""
