"Step","ViT-Tiny_cifar10_lion_512 - train/loss","ViT-Tiny_cifar10_lion_512 - train/loss__MIN","ViT-Tiny_cifar10_lion_512 - train/loss__MAX","ViT-Tiny_cifar10_adafactor_512 - train/loss","ViT-Tiny_cifar10_adafactor_512 - train/loss__MIN","ViT-Tiny_cifar10_adafactor_512 - train/loss__MAX","ViT-Tiny_cifar10_adamw_512 - train/loss","ViT-Tiny_cifar10_adamw_512 - train/loss__MIN","ViT-Tiny_cifar10_adamw_512 - train/loss__MAX","ViT-Tiny_cifar10_adam-mini_512 - train/loss","ViT-Tiny_cifar10_adam-mini_512 - train/loss__MIN","ViT-Tiny_cifar10_adam-mini_512 - train/loss__MAX","ViT-Tiny_cifar10_sgd_512 - train/loss","ViT-Tiny_cifar10_sgd_512 - train/loss__MIN","ViT-Tiny_cifar10_sgd_512 - train/loss__MAX","ViT-Tiny_cifar10_adam_512 - train/loss","ViT-Tiny_cifar10_adam_512 - train/loss__MIN","ViT-Tiny_cifar10_adam_512 - train/loss__MAX"
"0","1.9733590320587158","1.9733590320587158","1.9733590320587158","1.9958611339569092","1.9958611339569092","1.9958611339569092","1.9674699283599852","1.9674699283599852","1.9674699283599852","1.977478297805786","1.977478297805786","1.977478297805786","2.242913780975342","2.242913780975342","2.242913780975342","1.9734605644226075","1.9734605644226075","1.9734605644226075"
"1","1.84017668094635","1.84017668094635","1.84017668094635","1.8337003368377685","1.8337003368377685","1.8337003368377685","1.8019944877624512","1.8019944877624512","1.8019944877624512","1.8155643814086915","1.8155643814086915","1.8155643814086915","2.1174153816223145","2.1174153816223145","2.1174153816223145","1.8259134090423583","1.8259134090423583","1.8259134090423583"
"2","1.702781388092041","1.702781388092041","1.702781388092041","1.7204614559173583","1.7204614559173583","1.7204614559173583","1.6304977081298828","1.6304977081298828","1.6304977081298828","1.7054251024246216","1.7054251024246216","1.7054251024246216","2.034015143585205","2.034015143585205","2.034015143585205","1.6813752544403076","1.6813752544403076","1.6813752544403076"
"3","1.5845227254867553","1.5845227254867553","1.5845227254867553","1.5920022821426392","1.5920022821426392","1.5920022821426392","1.4795901746749878","1.4795901746749878","1.4795901746749878","1.602240163040161","1.602240163040161","1.602240163040161","1.9889326370239258","1.9889326370239258","1.9889326370239258","1.5221624340057374","1.5221624340057374","1.5221624340057374"
"4","1.4640568244934082","1.4640568244934082","1.4640568244934082","1.4659448863983153","1.4659448863983153","1.4659448863983153","1.3856635108947755","1.3856635108947755","1.3856635108947755","1.4625201141357422","1.4625201141357422","1.4625201141357422","1.9607618698120117","1.9607618698120117","1.9607618698120117","1.4141869052886964","1.4141869052886964","1.4141869052886964"
"5","1.373801615524292","1.373801615524292","1.373801615524292","1.3743365009307862","1.3743365009307862","1.3743365009307862","1.294676153755188","1.294676153755188","1.294676153755188","1.3694307342529297","1.3694307342529297","1.3694307342529297","1.9300509424209595","1.9300509424209595","1.9300509424209595","1.3311225177764892","1.3311225177764892","1.3311225177764892"
"6","1.2862898843765258","1.2862898843765258","1.2862898843765258","1.3031920908927916","1.3031920908927916","1.3031920908927916","1.2312197395324707","1.2312197395324707","1.2312197395324707","1.2702741077423096","1.2702741077423096","1.2702741077423096","1.8915905895233154","1.8915905895233154","1.8915905895233154","1.260079842185974","1.260079842185974","1.260079842185974"
"7","1.2250163608551026","1.2250163608551026","1.2250163608551026","1.221239013671875","1.221239013671875","1.221239013671875","1.1889227684020995","1.1889227684020995","1.1889227684020995","1.2224865465164185","1.2224865465164185","1.2224865465164185","1.8591216484069824","1.8591216484069824","1.8591216484069824","1.2084135124206543","1.2084135124206543","1.2084135124206543"
"8","1.1650509801864624","1.1650509801864624","1.1650509801864624","1.1696566192626954","1.1696566192626954","1.1696566192626954","1.141692592048645","1.141692592048645","1.141692592048645","1.1759380172729492","1.1759380172729492","1.1759380172729492","1.8329984951019287","1.8329984951019287","1.8329984951019287","1.1582022556304932","1.1582022556304932","1.1582022556304932"
"9","1.1115167716979981","1.1115167716979981","1.1115167716979981","1.1325106980323791","1.1325106980323791","1.1325106980323791","1.1064168544769286","1.1064168544769286","1.1064168544769286","1.142538872528076","1.142538872528076","1.142538872528076","1.809980891609192","1.809980891609192","1.809980891609192","1.11360492477417","1.11360492477417","1.11360492477417"
"10","1.0643274921417236","1.0643274921417236","1.0643274921417236","1.091417766571045","1.091417766571045","1.091417766571045","1.0588114044189454","1.0588114044189454","1.0588114044189454","1.0933387969970703","1.0933387969970703","1.0933387969970703","1.7907178735733031","1.7907178735733031","1.7907178735733031","1.0688632976531982","1.0688632976531982","1.0688632976531982"
"11","1.0170337923049926","1.0170337923049926","1.0170337923049926","1.0513785558700561","1.0513785558700561","1.0513785558700561","1.0273583366394043","1.0273583366394043","1.0273583366394043","1.0795678663253785","1.0795678663253785","1.0795678663253785","1.7723892751693726","1.7723892751693726","1.7723892751693726","1.051203465270996","1.051203465270996","1.051203465270996"
"12","0.9700187143325806","0.9700187143325806","0.9700187143325806","1.030786952972412","1.030786952972412","1.030786952972412","1.013237921333313","1.013237921333313","1.013237921333313","1.0446605882644653","1.0446605882644653","1.0446605882644653","1.7460170505523682","1.7460170505523682","1.7460170505523682","1.022150963973999","1.022150963973999","1.022150963973999"
"13","0.9274076327323914","0.9274076327323914","0.9274076327323914","1.0029619781494141","1.0029619781494141","1.0029619781494141","0.9646927619934083","0.9646927619934083","0.9646927619934083","1.0010299980163575","1.0010299980163575","1.0010299980163575","1.729467887878418","1.729467887878418","1.729467887878418","0.9931531643867493","0.9931531643867493","0.9931531643867493"
"14","0.8863308382034302","0.8863308382034302","0.8863308382034302","0.9698241514205933","0.9698241514205933","0.9698241514205933","0.9471113164901733","0.9471113164901733","0.9471113164901733","0.9746218467712402","0.9746218467712402","0.9746218467712402","1.7178854671478272","1.7178854671478272","1.7178854671478272","0.9756911273956299","0.9756911273956299","0.9756911273956299"
