"Step","ResNet-18_cifar10_lion_1024 - time_total/seconds","ResNet-18_cifar10_lion_1024 - time_total/seconds__MIN","ResNet-18_cifar10_lion_1024 - time_total/seconds__MAX","ResNet-18_cifar10_adafactor_1024 - time_total/seconds","ResNet-18_cifar10_adafactor_1024 - time_total/seconds__MIN","ResNet-18_cifar10_adafactor_1024 - time_total/seconds__MAX","ResNet-18_cifar10_adamw_1024 - time_total/seconds","ResNet-18_cifar10_adamw_1024 - time_total/seconds__MIN","ResNet-18_cifar10_adamw_1024 - time_total/seconds__MAX","ResNet-18_cifar10_adam-mini_1024 - time_total/seconds","ResNet-18_cifar10_adam-mini_1024 - time_total/seconds__MIN","ResNet-18_cifar10_adam-mini_1024 - time_total/seconds__MAX","ResNet-18_cifar10_sgd_1024 - time_total/seconds","ResNet-18_cifar10_sgd_1024 - time_total/seconds__MIN","ResNet-18_cifar10_sgd_1024 - time_total/seconds__MAX","ResNet-18_cifar10_adam_1024 - time_total/seconds","ResNet-18_cifar10_adam_1024 - time_total/seconds__MIN","ResNet-18_cifar10_adam_1024 - time_total/seconds__MAX"
"0","3.5813281536102295","3.5813281536102295","3.5813281536102295","3.6558785438537598","3.6558785438537598","3.6558785438537598","3.676429271697998","3.676429271697998","3.676429271697998","3.6666624546051025","3.6666624546051025","3.6666624546051025","3.7869396209716797","3.7869396209716797","3.7869396209716797","3.706937789916992","3.706937789916992","3.706937789916992"
"1","3.645951509475708","3.645951509475708","3.645951509475708","3.6853203773498535","3.6853203773498535","3.6853203773498535","3.530299186706543","3.530299186706543","3.530299186706543","3.6336090564727783","3.6336090564727783","3.6336090564727783","3.578273296356201","3.578273296356201","3.578273296356201","3.629985809326172","3.629985809326172","3.629985809326172"
"2","3.6531574726104736","3.6531574726104736","3.6531574726104736","3.688310384750366","3.688310384750366","3.688310384750366","3.522961139678955","3.522961139678955","3.522961139678955","3.6423285007476807","3.6423285007476807","3.6423285007476807","3.489013195037842","3.489013195037842","3.489013195037842","3.5850021839141846","3.5850021839141846","3.5850021839141846"
"3","3.64306378364563","3.64306378364563","3.64306378364563","3.6889443397521973","3.6889443397521973","3.6889443397521973","3.6153416633605957","3.6153416633605957","3.6153416633605957","3.5621213912963867","3.5621213912963867","3.5621213912963867","3.4846062660217285","3.4846062660217285","3.4846062660217285","3.5365982055664062","3.5365982055664062","3.5365982055664062"
"4","3.560546875","3.560546875","3.560546875","3.6192805767059326","3.6192805767059326","3.6192805767059326","3.626432180404663","3.626432180404663","3.626432180404663","3.543487548828125","3.543487548828125","3.543487548828125","3.578523635864258","3.578523635864258","3.578523635864258","3.7037415504455566","3.7037415504455566","3.7037415504455566"
"5","3.563549280166626","3.563549280166626","3.563549280166626","3.5928399562835693","3.5928399562835693","3.5928399562835693","3.6245012283325195","3.6245012283325195","3.6245012283325195","3.640791177749634","3.640791177749634","3.640791177749634","3.575063943862915","3.575063943862915","3.575063943862915","3.7208077907562256","3.7208077907562256","3.7208077907562256"
"6","3.6594765186309814","3.6594765186309814","3.6594765186309814","3.6961047649383545","3.6961047649383545","3.6961047649383545","3.5372064113616943","3.5372064113616943","3.5372064113616943","3.638833999633789","3.638833999633789","3.638833999633789","3.5578601360321045","3.5578601360321045","3.5578601360321045","3.7135746479034424","3.7135746479034424","3.7135746479034424"
"7","3.657104969024658","3.657104969024658","3.657104969024658","3.6978533267974854","3.6978533267974854","3.6978533267974854","3.539835214614868","3.539835214614868","3.539835214614868","3.648423671722412","3.648423671722412","3.648423671722412","3.487121343612671","3.487121343612671","3.487121343612671","3.619550943374634","3.619550943374634","3.619550943374634"
"8","3.652935266494751","3.652935266494751","3.652935266494751","3.6944286823272705","3.6944286823272705","3.6944286823272705","3.6256260871887207","3.6256260871887207","3.6256260871887207","3.5483078956604004","3.5483078956604004","3.5483078956604004","3.5854806900024414","3.5854806900024414","3.5854806900024414","3.5316367149353027","3.5316367149353027","3.5316367149353027"
"9","3.561535120010376","3.561535120010376","3.561535120010376","3.6206018924713135","3.6206018924713135","3.6206018924713135","3.635617256164551","3.635617256164551","3.635617256164551","3.5439977645874023","3.5439977645874023","3.5439977645874023","3.686915159225464","3.686915159225464","3.686915159225464","3.666158437728882","3.666158437728882","3.666158437728882"
"10","3.563486099243164","3.563486099243164","3.563486099243164","3.6098124980926514","3.6098124980926514","3.6098124980926514","3.6249661445617676","3.6249661445617676","3.6249661445617676","3.638986587524414","3.638986587524414","3.638986587524414","3.545128345489502","3.545128345489502","3.545128345489502","3.626824378967285","3.626824378967285","3.626824378967285"
"11","3.6485791206359863","3.6485791206359863","3.6485791206359863","3.6841113567352295","3.6841113567352295","3.6841113567352295","3.5403807163238525","3.5403807163238525","3.5403807163238525","3.643209457397461","3.643209457397461","3.643209457397461","3.4895238876342773","3.4895238876342773","3.4895238876342773","3.6183254718780518","3.6183254718780518","3.6183254718780518"
"12","3.6489827632904053","3.6489827632904053","3.6489827632904053","3.686805009841919","3.686805009841919","3.686805009841919","3.535642385482788","3.535642385482788","3.535642385482788","3.641465902328491","3.641465902328491","3.641465902328491","3.667473077774048","3.667473077774048","3.667473077774048","3.5419411659240723","3.5419411659240723","3.5419411659240723"
"13","3.6533405780792236","3.6533405780792236","3.6533405780792236","3.6958682537078857","3.6958682537078857","3.6958682537078857","3.6310367584228516","3.6310367584228516","3.6310367584228516","3.542971611022949","3.542971611022949","3.542971611022949","3.669511556625366","3.669511556625366","3.669511556625366","3.648848056793213","3.648848056793213","3.648848056793213"
"14","3.557563304901123","3.557563304901123","3.557563304901123","3.6534030437469482","3.6534030437469482","3.6534030437469482","3.6315853595733643","3.6315853595733643","3.6315853595733643","3.544079065322876","3.544079065322876","3.544079065322876","3.669482946395874","3.669482946395874","3.669482946395874","3.6316614151000977","3.6316614151000977","3.6316614151000977"
"15","3.5502121448516846","3.5502121448516846","3.5502121448516846","3.6002886295318604","3.6002886295318604","3.6002886295318604","3.6392619609832764","3.6392619609832764","3.6392619609832764","3.636620044708252","3.636620044708252","3.636620044708252","3.4952425956726074","3.4952425956726074","3.4952425956726074","3.6360015869140625","3.6360015869140625","3.6360015869140625"
"16","3.6633689403533936","3.6633689403533936","3.6633689403533936","3.6695642471313477","3.6695642471313477","3.6695642471313477","3.5397517681121826","3.5397517681121826","3.5397517681121826","3.6422555446624756","3.6422555446624756","3.6422555446624756","3.492567777633667","3.492567777633667","3.492567777633667","3.5354857444763184","3.5354857444763184","3.5354857444763184"
