"Step","ResNet-18_cifar100_lion_1024 - time_total/seconds","ResNet-18_cifar100_lion_1024 - time_total/seconds__MIN","ResNet-18_cifar100_lion_1024 - time_total/seconds__MAX","ResNet-18_cifar100_adafactor_1024 - time_total/seconds","ResNet-18_cifar100_adafactor_1024 - time_total/seconds__MIN","ResNet-18_cifar100_adafactor_1024 - time_total/seconds__MAX","ResNet-18_cifar100_adamw_1024 - time_total/seconds","ResNet-18_cifar100_adamw_1024 - time_total/seconds__MIN","ResNet-18_cifar100_adamw_1024 - time_total/seconds__MAX","ResNet-18_cifar100_adam-mini_1024 - time_total/seconds","ResNet-18_cifar100_adam-mini_1024 - time_total/seconds__MIN","ResNet-18_cifar100_adam-mini_1024 - time_total/seconds__MAX","ResNet-18_cifar100_sgd_1024 - time_total/seconds","ResNet-18_cifar100_sgd_1024 - time_total/seconds__MIN","ResNet-18_cifar100_sgd_1024 - time_total/seconds__MAX","ResNet-18_cifar100_adam_1024 - time_total/seconds","ResNet-18_cifar100_adam_1024 - time_total/seconds__MIN","ResNet-18_cifar100_adam_1024 - time_total/seconds__MAX"
"0","3.6733341217041016","3.6733341217041016","3.6733341217041016","3.743324041366577","3.743324041366577","3.743324041366577","3.6228737831115723","3.6228737831115723","3.6228737831115723","3.900156259536743","3.900156259536743","3.900156259536743","3.643256664276123","3.643256664276123","3.643256664276123","3.749872922897339","3.749872922897339","3.749872922897339"
"1","3.549689292907715","3.549689292907715","3.549689292907715","3.5836808681488037","3.5836808681488037","3.5836808681488037","3.637329339981079","3.637329339981079","3.637329339981079","3.518068552017212","3.518068552017212","3.518068552017212","3.6040191650390625","3.6040191650390625","3.6040191650390625","3.540710210800171","3.540710210800171","3.540710210800171"
"2","3.5491421222686768","3.5491421222686768","3.5491421222686768","3.585818290710449","3.585818290710449","3.585818290710449","3.635221004486084","3.635221004486084","3.635221004486084","3.52177357673645","3.52177357673645","3.52177357673645","3.5290424823760986","3.5290424823760986","3.5290424823760986","3.541984796524048","3.541984796524048","3.541984796524048"
"3","3.6620969772338867","3.6620969772338867","3.6620969772338867","3.6944022178649902","3.6944022178649902","3.6944022178649902","3.6374707221984863","3.6374707221984863","3.6374707221984863","3.6371304988861084","3.6371304988861084","3.6371304988861084","3.7293426990509033","3.7293426990509033","3.7293426990509033","3.663691520690918","3.663691520690918","3.663691520690918"
"4","3.6625115871429443","3.6625115871429443","3.6625115871429443","3.698546886444092","3.698546886444092","3.698546886444092","3.5207998752593994","3.5207998752593994","3.5207998752593994","3.6298675537109375","3.6298675537109375","3.6298675537109375","3.719104766845703","3.719104766845703","3.719104766845703","3.656475782394409","3.656475782394409","3.656475782394409"
"5","3.660250186920166","3.660250186920166","3.660250186920166","3.704585313796997","3.704585313796997","3.704585313796997","3.6366493701934814","3.6366493701934814","3.6366493701934814","3.635852098464966","3.635852098464966","3.635852098464966","3.7157180309295654","3.7157180309295654","3.7157180309295654","3.6504595279693604","3.6504595279693604","3.6504595279693604"
"6","3.542621612548828","3.542621612548828","3.542621612548828","3.70386004447937","3.70386004447937","3.70386004447937","3.6326096057891846","3.6326096057891846","3.6326096057891846","3.5429532527923584","3.5429532527923584","3.5429532527923584","3.604215621948242","3.604215621948242","3.604215621948242","3.6533689498901367","3.6533689498901367","3.6533689498901367"
"7","3.55739688873291","3.55739688873291","3.55739688873291","3.599587917327881","3.599587917327881","3.599587917327881","3.639866828918457","3.639866828918457","3.639866828918457","3.526883363723755","3.526883363723755","3.526883363723755","3.544527292251587","3.544527292251587","3.544527292251587","3.5362093448638916","3.5362093448638916","3.5362093448638916"
"8","3.6611928939819336","3.6611928939819336","3.6611928939819336","3.62764048576355","3.62764048576355","3.62764048576355","3.6473119258880615","3.6473119258880615","3.6473119258880615","3.6345043182373047","3.6345043182373047","3.6345043182373047","3.5427844524383545","3.5427844524383545","3.5427844524383545","3.5978832244873047","3.5978832244873047","3.5978832244873047"
"9","3.6650874614715576","3.6650874614715576","3.6650874614715576","3.704129457473755","3.704129457473755","3.704129457473755","3.527904748916626","3.527904748916626","3.527904748916626","3.637446880340576","3.637446880340576","3.637446880340576","3.654789686203003","3.654789686203003","3.654789686203003","3.6420772075653076","3.6420772075653076","3.6420772075653076"
"10","3.664505958557129","3.664505958557129","3.664505958557129","3.711500883102417","3.711500883102417","3.711500883102417","3.6369199752807617","3.6369199752807617","3.6369199752807617","3.645036220550537","3.645036220550537","3.645036220550537","3.667712926864624","3.667712926864624","3.667712926864624","3.659505605697632","3.659505605697632","3.659505605697632"
"11","3.5415656566619873","3.5415656566619873","3.5415656566619873","3.7071714401245117","3.7071714401245117","3.7071714401245117","3.6421704292297363","3.6421704292297363","3.6421704292297363","3.5389468669891357","3.5389468669891357","3.5389468669891357","3.5388600826263428","3.5388600826263428","3.5388600826263428","3.6527795791625977","3.6527795791625977","3.6527795791625977"
"12","3.5436112880706787","3.5436112880706787","3.5436112880706787","3.587798833847046","3.587798833847046","3.587798833847046","3.634453296661377","3.634453296661377","3.634453296661377","3.5243847370147705","3.5243847370147705","3.5243847370147705","3.5341908931732178","3.5341908931732178","3.5341908931732178","3.5415382385253906","3.5415382385253906","3.5415382385253906"
