"Step","ViT-Tiny_cifar100_lion_512 - time_total/seconds","ViT-Tiny_cifar100_lion_512 - time_total/seconds__MIN","ViT-Tiny_cifar100_lion_512 - time_total/seconds__MAX","ViT-Tiny_cifar100_adafactor_512 - time_total/seconds","ViT-Tiny_cifar100_adafactor_512 - time_total/seconds__MIN","ViT-Tiny_cifar100_adafactor_512 - time_total/seconds__MAX","ViT-Tiny_cifar100_adamw_512 - time_total/seconds","ViT-Tiny_cifar100_adamw_512 - time_total/seconds__MIN","ViT-Tiny_cifar100_adamw_512 - time_total/seconds__MAX","ViT-Tiny_cifar100_adam-mini_512 - time_total/seconds","ViT-Tiny_cifar100_adam-mini_512 - time_total/seconds__MIN","ViT-Tiny_cifar100_adam-mini_512 - time_total/seconds__MAX","ViT-Tiny_cifar100_sgd_512 - time_total/seconds","ViT-Tiny_cifar100_sgd_512 - time_total/seconds__MIN","ViT-Tiny_cifar100_sgd_512 - time_total/seconds__MAX","ViT-Tiny_cifar100_adam_512 - time_total/seconds","ViT-Tiny_cifar100_adam_512 - time_total/seconds__MIN","ViT-Tiny_cifar100_adam_512 - time_total/seconds__MAX"
"0","4.285654544830322","4.285654544830322","4.285654544830322","4.872804641723633","4.872804641723633","4.872804641723633","4.434731721878052","4.434731721878052","4.434731721878052","4.484719753265381","4.484719753265381","4.484719753265381","4.262121200561523","4.262121200561523","4.262121200561523","4.345332860946655","4.345332860946655","4.345332860946655"
"1","4.295950651168823","4.295950651168823","4.295950651168823","4.833579778671265","4.833579778671265","4.833579778671265","4.242039918899536","4.242039918899536","4.242039918899536","4.444260358810425","4.444260358810425","4.444260358810425","4.123515844345093","4.123515844345093","4.123515844345093","4.319155693054199","4.319155693054199","4.319155693054199"
"2","4.2927892208099365","4.2927892208099365","4.2927892208099365","4.836826324462891","4.836826324462891","4.836826324462891","4.248077154159546","4.248077154159546","4.248077154159546","4.444650173187256","4.444650173187256","4.444650173187256","4.249404191970825","4.249404191970825","4.249404191970825","4.316290378570557","4.316290378570557","4.316290378570557"
"3","4.419052600860596","4.419052600860596","4.419052600860596","4.847579479217529","4.847579479217529","4.847579479217529","4.250922441482544","4.250922441482544","4.250922441482544","4.458373069763184","4.458373069763184","4.458373069763184","4.242405652999878","4.242405652999878","4.242405652999878","4.2827308177948","4.2827308177948","4.2827308177948"
"4","4.415605068206787","4.415605068206787","4.415605068206787","4.844472885131836","4.844472885131836","4.844472885131836","4.1392905712127686","4.1392905712127686","4.1392905712127686","4.456312417984009","4.456312417984009","4.456312417984009","4.24589204788208","4.24589204788208","4.24589204788208","4.298186302185059","4.298186302185059","4.298186302185059"
"5","4.410487651824951","4.410487651824951","4.410487651824951","4.850366830825806","4.850366830825806","4.850366830825806","4.151370525360107","4.151370525360107","4.151370525360107","4.455814599990845","4.455814599990845","4.455814599990845","4.2496337890625","4.2496337890625","4.2496337890625","4.269528150558472","4.269528150558472","4.269528150558472"
"6","4.419579029083252","4.419579029083252","4.419579029083252","4.849699974060059","4.849699974060059","4.849699974060059","4.2151854038238525","4.2151854038238525","4.2151854038238525","4.464781761169434","4.464781761169434","4.464781761169434","4.251715183258057","4.251715183258057","4.251715183258057","4.303805828094482","4.303805828094482","4.303805828094482"
"7","4.419480562210083","4.419480562210083","4.419480562210083","4.848097085952759","4.848097085952759","4.848097085952759","4.260695219039917","4.260695219039917","4.260695219039917","4.469052791595459","4.469052791595459","4.469052791595459","4.252642631530762","4.252642631530762","4.252642631530762","4.3124589920043945","4.3124589920043945","4.3124589920043945"
"8","4.419363021850586","4.419363021850586","4.419363021850586","4.834992408752441","4.834992408752441","4.834992408752441","4.281210660934448","4.281210660934448","4.281210660934448","4.464651823043823","4.464651823043823","4.464651823043823","4.25915265083313","4.25915265083313","4.25915265083313","4.359786033630371","4.359786033630371","4.359786033630371"
"9","4.422155141830444","4.422155141830444","4.422155141830444","4.836626291275024","4.836626291275024","4.836626291275024","4.2825939655303955","4.2825939655303955","4.2825939655303955","4.469263553619385","4.469263553619385","4.469263553619385","4.259596824645996","4.259596824645996","4.259596824645996","4.356780767440796","4.356780767440796","4.356780767440796"
