"Step","ResNet-18_cifar100_lion_1024 - train/loss","ResNet-18_cifar100_lion_1024 - train/loss__MIN","ResNet-18_cifar100_lion_1024 - train/loss__MAX","ResNet-18_cifar100_adafactor_1024 - train/loss","ResNet-18_cifar100_adafactor_1024 - train/loss__MIN","ResNet-18_cifar100_adafactor_1024 - train/loss__MAX","ResNet-18_cifar100_adamw_1024 - train/loss","ResNet-18_cifar100_adamw_1024 - train/loss__MIN","ResNet-18_cifar100_adamw_1024 - train/loss__MAX","ResNet-18_cifar100_adam-mini_1024 - train/loss","ResNet-18_cifar100_adam-mini_1024 - train/loss__MIN","ResNet-18_cifar100_adam-mini_1024 - train/loss__MAX","ResNet-18_cifar100_sgd_1024 - train/loss","ResNet-18_cifar100_sgd_1024 - train/loss__MIN","ResNet-18_cifar100_sgd_1024 - train/loss__MAX","ResNet-18_cifar100_adam_1024 - train/loss","ResNet-18_cifar100_adam_1024 - train/loss__MIN","ResNet-18_cifar100_adam_1024 - train/loss__MAX"
"0","4.412905601501465","4.412905601501465","4.412905601501465","4.345565605163574","4.345565605163574","4.345565605163574","4.245643696594239","4.245643696594239","4.245643696594239","4.230847631072998","4.230847631072998","4.230847631072998","4.519407443237305","4.519407443237305","4.519407443237305","4.2471967208862305","4.2471967208862305","4.2471967208862305"
"1","3.8672702030181885","3.8672702030181885","3.8672702030181885","3.732879690170288","3.732879690170288","3.732879690170288","3.637789404296875","3.637789404296875","3.637789404296875","3.6836149101257325","3.6836149101257325","3.6836149101257325","4.140585083770752","4.140585083770752","4.140585083770752","3.6513466400146486","3.6513466400146486","3.6513466400146486"
"2","3.483674990463257","3.483674990463257","3.483674990463257","3.3230224632263186","3.3230224632263186","3.3230224632263186","3.2814588012695314","3.2814588012695314","3.2814588012695314","3.3680554889678955","3.3680554889678955","3.3680554889678955","3.770218144226074","3.770218144226074","3.770218144226074","3.304756636428833","3.304756636428833","3.304756636428833"
"3","3.209930379867554","3.209930379867554","3.209930379867554","2.981236754608154","2.981236754608154","2.981236754608154","2.9666140899658204","2.9666140899658204","2.9666140899658204","3.0670859188079835","3.0670859188079835","3.0670859188079835","3.5018806976318357","3.5018806976318357","3.5018806976318357","2.999945566177368","2.999945566177368","2.999945566177368"
"4","2.9352042221069334","2.9352042221069334","2.9352042221069334","2.713087840270996","2.713087840270996","2.713087840270996","2.7166364658355713","2.7166364658355713","2.7166364658355713","2.8236525722503663","2.8236525722503663","2.8236525722503663","3.2650339935302735","3.2650339935302735","3.2650339935302735","2.72512501373291","2.72512501373291","2.72512501373291"
"5","2.6759851749420167","2.6759851749420167","2.6759851749420167","2.475443976211548","2.475443976211548","2.475443976211548","2.5141829513549805","2.5141829513549805","2.5141829513549805","2.576467679595947","2.576467679595947","2.576467679595947","3.018947258758545","3.018947258758545","3.018947258758545","2.5061765365600586","2.5061765365600586","2.5061765365600586"
"6","2.3991440250396727","2.3991440250396727","2.3991440250396727","2.2608672916412353","2.2608672916412353","2.2608672916412353","2.276045597076416","2.276045597076416","2.276045597076416","2.337532814025879","2.337532814025879","2.337532814025879","2.8063361263275146","2.8063361263275146","2.8063361263275146","2.2943312564849854","2.2943312564849854","2.2943312564849854"
"7","2.1615359062194823","2.1615359062194823","2.1615359062194823","2.056012173080444","2.056012173080444","2.056012173080444","2.0695481672286986","2.0695481672286986","2.0695481672286986","2.1879352058410646","2.1879352058410646","2.1879352058410646","2.5599490493774413","2.5599490493774413","2.5599490493774413","2.091009778594971","2.091009778594971","2.091009778594971"
"8","1.963983771133423","1.963983771133423","1.963983771133423","1.9013821323394775","1.9013821323394775","1.9013821323394775","1.8925207153320311","1.8925207153320311","1.8925207153320311","1.9947062286376953","1.9947062286376953","1.9947062286376953","2.3660946048736573","2.3660946048736573","2.3660946048736573","1.9224158376693725","1.9224158376693725","1.9224158376693725"
"9","1.7892259098052978","1.7892259098052978","1.7892259098052978","1.7368245336532593","1.7368245336532593","1.7368245336532593","1.8048324607849122","1.8048324607849122","1.8048324607849122","1.8969504955291747","1.8969504955291747","1.8969504955291747","2.1969547679901122","2.1969547679901122","2.1969547679901122","1.7711603889465333","1.7711603889465333","1.7711603889465333"
"10","1.6250646516799927","1.6250646516799927","1.6250646516799927","1.6080463708877564","1.6080463708877564","1.6080463708877564","1.6390542863845825","1.6390542863845825","1.6390542863845825","1.726229843711853","1.726229843711853","1.726229843711853","2.067993417739868","2.067993417739868","2.067993417739868","1.680375048828125","1.680375048828125","1.680375048828125"
"11","1.4876226196289062","1.4876226196289062","1.4876226196289062","1.4942746870040893","1.4942746870040893","1.4942746870040893","1.5323261318206787","1.5323261318206787","1.5323261318206787","1.62823532371521","1.62823532371521","1.62823532371521","1.9498149711608888","1.9498149711608888","1.9498149711608888","1.555385930633545","1.555385930633545","1.555385930633545"
"12","1.3584883029937744","1.3584883029937744","1.3584883029937744","1.3962039737701415","1.3962039737701415","1.3962039737701415","1.4416996362686156","1.4416996362686156","1.4416996362686156","1.517166579437256","1.517166579437256","1.517166579437256","1.8213104040145873","1.8213104040145873","1.8213104040145873","1.4553322835922242","1.4553322835922242","1.4553322835922242"
"13","1.2493728149414063","1.2493728149414063","1.2493728149414063","1.2964284378051758","1.2964284378051758","1.2964284378051758","1.3812674869537354","1.3812674869537354","1.3812674869537354","1.438597087097168","1.438597087097168","1.438597087097168","1.711429787826538","1.711429787826538","1.711429787826538","1.356614563369751","1.356614563369751","1.356614563369751"
"14","1.1429335395812987","1.1429335395812987","1.1429335395812987","1.1934573097229004","1.1934573097229004","1.1934573097229004","1.2900924919128418","1.2900924919128418","1.2900924919128418","1.3667399066925048","1.3667399066925048","1.3667399066925048","1.6535101629257203","1.6535101629257203","1.6535101629257203","1.31669944190979","1.31669944190979","1.31669944190979"
"15","1.0428658416748047","1.0428658416748047","1.0428658416748047","1.1343087776184082","1.1343087776184082","1.1343087776184082","1.2095690341949463","1.2095690341949463","1.2095690341949463","1.2894776885986328","1.2894776885986328","1.2894776885986328","1.5136184675216675","1.5136184675216675","1.5136184675216675","1.2747060037612914","1.2747060037612914","1.2747060037612914"
"16","0.9452574806213379","0.9452574806213379","0.9452574806213379","1.0509621788024903","1.0509621788024903","1.0509621788024903","1.1204586563110353","1.1204586563110353","1.1204586563110353","1.2330190948486328","1.2330190948486328","1.2330190948486328","1.4163471229553222","1.4163471229553222","1.4163471229553222","1.1266999507904052","1.1266999507904052","1.1266999507904052"
"17","0.8598110610961914","0.8598110610961914","0.8598110610961914","0.9696018409729004","0.9696018409729004","0.9696018409729004","1.0755671182632447","1.0755671182632447","1.0755671182632447","1.1337250870704652","1.1337250870704652","1.1337250870704652","1.388555225753784","1.388555225753784","1.388555225753784","1.1033345760345459","1.1033345760345459","1.1033345760345459"
"18","0.7743758464813233","0.7743758464813233","0.7743758464813233","0.9019377635955811","0.9019377635955811","0.9019377635955811","1.032862844467163","1.032862844467163","1.032862844467163","1.0711685079574584","1.0711685079574584","1.0711685079574584","1.2826784332275392","1.2826784332275392","1.2826784332275392","1.0425821578979493","1.0425821578979493","1.0425821578979493"
"19","0.6999952682495117","0.6999952682495117","0.6999952682495117","0.8369340190887451","0.8369340190887451","0.8369340190887451","1.0018459117889404","1.0018459117889404","1.0018459117889404","1.0443887756347656","1.0443887756347656","1.0443887756347656","1.2562229524612427","1.2562229524612427","1.2562229524612427","0.9509619658470154","0.9509619658470154","0.9509619658470154"
"20","0.631620479297638","0.631620479297638","0.631620479297638","0.7750093864440918","0.7750093864440918","0.7750093864440918","0.9303243885040283","0.9303243885040283","0.9303243885040283","0.9864488767623901","0.9864488767623901","0.9864488767623901","1.204903807067871","1.204903807067871","1.204903807067871","0.913154415512085","0.913154415512085","0.913154415512085"
"21","0.5633739309310913","0.5633739309310913","0.5633739309310913","0.7041093114852905","0.7041093114852905","0.7041093114852905","0.8838242428779602","0.8838242428779602","0.8838242428779602","0.9218260749816894","0.9218260749816894","0.9218260749816894","1.1052832344055177","1.1052832344055177","1.1052832344055177","0.8725650599479675","0.8725650599479675","0.8725650599479675"
"22","0.4957311207771301","0.4957311207771301","0.4957311207771301","0.6590350245475769","0.6590350245475769","0.6590350245475769","0.7981081092834472","0.7981081092834472","0.7981081092834472","0.8770266845703125","0.8770266845703125","0.8770266845703125","1.060896997642517","1.060896997642517","1.060896997642517","0.8075615354537964","0.8075615354537964","0.8075615354537964"
