"Step","ResNet-18_cifar100_lion_512 - val/loss","ResNet-18_cifar100_lion_512 - val/loss__MIN","ResNet-18_cifar100_lion_512 - val/loss__MAX","ResNet-18_cifar100_adafactor_512 - val/loss","ResNet-18_cifar100_adafactor_512 - val/loss__MIN","ResNet-18_cifar100_adafactor_512 - val/loss__MAX","ResNet-18_cifar100_adamw_512 - val/loss","ResNet-18_cifar100_adamw_512 - val/loss__MIN","ResNet-18_cifar100_adamw_512 - val/loss__MAX","ResNet-18_cifar100_adam-mini_512 - val/loss","ResNet-18_cifar100_adam-mini_512 - val/loss__MIN","ResNet-18_cifar100_adam-mini_512 - val/loss__MAX","ResNet-18_cifar100_sgd_512 - val/loss","ResNet-18_cifar100_sgd_512 - val/loss__MIN","ResNet-18_cifar100_sgd_512 - val/loss__MAX","ResNet-18_cifar100_adam_512 - val/loss","ResNet-18_cifar100_adam_512 - val/loss__MIN","ResNet-18_cifar100_adam_512 - val/loss__MAX"
"0","3.9380361804962156","3.9380361804962156","3.9380361804962156","3.801580772781372","3.801580772781372","3.801580772781372","3.7472674339294434","3.7472674339294434","3.7472674339294434","3.7846960704803467","3.7846960704803467","3.7846960704803467","4.1796086853027345","4.1796086853027345","4.1796086853027345","3.753371238708496","3.753371238708496","3.753371238708496"
"1","3.4628703399658205","3.4628703399658205","3.4628703399658205","3.4392676643371582","3.4392676643371582","3.4392676643371582","3.504955795288086","3.504955795288086","3.504955795288086","3.401282186508179","3.401282186508179","3.401282186508179","3.788157836532593","3.788157836532593","3.788157836532593","3.2903998878479004","3.2903998878479004","3.2903998878479004"
"2","3.128730484008789","3.128730484008789","3.128730484008789","3.2216347385406494","3.2216347385406494","3.2216347385406494","3.134703708267212","3.134703708267212","3.134703708267212","3.011627710723877","3.011627710723877","3.011627710723877","3.708000648880005","3.708000648880005","3.708000648880005","3.0636713584899904","3.0636713584899904","3.0636713584899904"
"3","2.7997662063598634","2.7997662063598634","2.7997662063598634","2.836716188812256","2.836716188812256","2.836716188812256","2.7904276500701903","2.7904276500701903","2.7904276500701903","3.2389885452270506","3.2389885452270506","3.2389885452270506","3.7707062885284426","3.7707062885284426","3.7707062885284426","2.7955137393951417","2.7955137393951417","2.7955137393951417"
"4","2.5705545639038085","2.5705545639038085","2.5705545639038085","3.1053349822998046","3.1053349822998046","3.1053349822998046","2.5777320598602294","2.5777320598602294","2.5777320598602294","2.7354726051330567","2.7354726051330567","2.7354726051330567","3.39185457611084","3.39185457611084","3.39185457611084","2.6545565296173095","2.6545565296173095","2.6545565296173095"
"5","2.4406094997406007","2.4406094997406007","2.4406094997406007","2.651050648498535","2.651050648498535","2.651050648498535","2.6716888416290283","2.6716888416290283","2.6716888416290283","2.6127073051452636","2.6127073051452636","2.6127073051452636","2.8731785224914552","2.8731785224914552","2.8731785224914552","2.5435004791259765","2.5435004791259765","2.5435004791259765"
"6","2.180404809188843","2.180404809188843","2.180404809188843","2.317120958709717","2.317120958709717","2.317120958709717","2.234793476486206","2.234793476486206","2.234793476486206","2.983478369140625","2.983478369140625","2.983478369140625","3.531139175415039","3.531139175415039","3.531139175415039","2.7544406772613526","2.7544406772613526","2.7544406772613526"
"7","2.108607640457153","2.108607640457153","2.108607640457153","2.196885327911377","2.196885327911377","2.196885327911377","2.113111096572876","2.113111096572876","2.113111096572876","2.24035966835022","2.24035966835022","2.24035966835022","3.2001060516357422","3.2001060516357422","3.2001060516357422","2.332364490890503","2.332364490890503","2.332364490890503"
"8","1.8576316102981567","1.8576316102981567","1.8576316102981567","2.3300160717010496","2.3300160717010496","2.3300160717010496","2.2091276721954345","2.2091276721954345","2.2091276721954345","2.1011652976989748","2.1011652976989748","2.1011652976989748","3.1303694450378416","3.1303694450378416","3.1303694450378416","2.03342105178833","2.03342105178833","2.03342105178833"
"9","1.7496449203491211","1.7496449203491211","1.7496449203491211","2.012854236984253","2.012854236984253","2.012854236984253","2.087784701538086","2.087784701538086","2.087784701538086","2.0479812574386598","2.0479812574386598","2.0479812574386598","2.833587638092041","2.833587638092041","2.833587638092041","2.112320785522461","2.112320785522461","2.112320785522461"
