"Step","ViT-Tiny_cifar100_lion_1024 - train/loss","ViT-Tiny_cifar100_lion_1024 - train/loss__MIN","ViT-Tiny_cifar100_lion_1024 - train/loss__MAX","ViT-Tiny_cifar100_adafactor_1024 - train/loss","ViT-Tiny_cifar100_adafactor_1024 - train/loss__MIN","ViT-Tiny_cifar100_adafactor_1024 - train/loss__MAX","ViT-Tiny_cifar100_adamw_1024 - train/loss","ViT-Tiny_cifar100_adamw_1024 - train/loss__MIN","ViT-Tiny_cifar100_adamw_1024 - train/loss__MAX","ViT-Tiny_cifar100_adam-mini_1024 - train/loss","ViT-Tiny_cifar100_adam-mini_1024 - train/loss__MIN","ViT-Tiny_cifar100_adam-mini_1024 - train/loss__MAX","ViT-Tiny_cifar100_sgd_1024 - train/loss","ViT-Tiny_cifar100_sgd_1024 - train/loss__MIN","ViT-Tiny_cifar100_sgd_1024 - train/loss__MAX","ViT-Tiny_cifar100_adam_1024 - train/loss","ViT-Tiny_cifar100_adam_1024 - train/loss__MIN","ViT-Tiny_cifar100_adam_1024 - train/loss__MAX"
"0","4.413882082366944","4.413882082366944","4.413882082366944","4.4614397735595706","4.4614397735595706","4.4614397735595706","4.376240426635742","4.376240426635742","4.376240426635742","4.384188094329834","4.384188094329834","4.384188094329834","4.6280411422729495","4.6280411422729495","4.6280411422729495","4.406477785491943","4.406477785491943","4.406477785491943"
"1","4.202154224014282","4.202154224014282","4.202154224014282","4.232315521240235","4.232315521240235","4.232315521240235","4.131602951049805","4.131602951049805","4.131602951049805","4.149597555541992","4.149597555541992","4.149597555541992","4.597378742980957","4.597378742980957","4.597378742980957","4.191779508209229","4.191779508209229","4.191779508209229"
"2","4.011366257476807","4.011366257476807","4.011366257476807","3.9931614696502686","3.9931614696502686","3.9931614696502686","3.8989915130615236","3.8989915130615236","3.8989915130615236","3.9370746768951417","3.9370746768951417","3.9370746768951417","4.552610502624511","4.552610502624511","4.552610502624511","3.976911817550659","3.976911817550659","3.976911817550659"
"3","3.829226824951172","3.829226824951172","3.829226824951172","3.7964319458007814","3.7964319458007814","3.7964319458007814","3.700943795776367","3.700943795776367","3.700943795776367","3.7770540512084962","3.7770540512084962","3.7770540512084962","4.507161866760254","4.507161866760254","4.507161866760254","3.7824442440032957","3.7824442440032957","3.7824442440032957"
"4","3.6786353282928466","3.6786353282928466","3.6786353282928466","3.636436234283447","3.636436234283447","3.636436234283447","3.5571964935302733","3.5571964935302733","3.5571964935302733","3.617306991958618","3.617306991958618","3.617306991958618","4.461267738342285","4.461267738342285","4.461267738342285","3.606753705596924","3.606753705596924","3.606753705596924"
"5","3.544194794845581","3.544194794845581","3.544194794845581","3.4669980087280274","3.4669980087280274","3.4669980087280274","3.3604364887237548","3.3604364887237548","3.3604364887237548","3.504038826751709","3.504038826751709","3.504038826751709","4.41809162979126","4.41809162979126","4.41809162979126","3.4565962627410887","3.4565962627410887","3.4565962627410887"
"6","3.3959946880340577","3.3959946880340577","3.3959946880340577","3.3082720474243166","3.3082720474243166","3.3082720474243166","3.2084098625183106","3.2084098625183106","3.2084098625183106","3.31996690864563","3.31996690864563","3.31996690864563","4.381836599731446","4.381836599731446","4.381836599731446","3.2755696418762206","3.2755696418762206","3.2755696418762206"
"7","3.243269818496704","3.243269818496704","3.243269818496704","3.163925943374634","3.163925943374634","3.163925943374634","3.0713139556884768","3.0713139556884768","3.0713139556884768","3.1894499710083006","3.1894499710083006","3.1894499710083006","4.350356650543213","4.350356650543213","4.350356650543213","3.102898810195923","3.102898810195923","3.102898810195923"
"8","3.122526455307007","3.122526455307007","3.122526455307007","3.0209897811889648","3.0209897811889648","3.0209897811889648","2.9658607837677002","2.9658607837677002","2.9658607837677002","3.0511047561645506","3.0511047561645506","3.0511047561645506","4.323942091369629","4.323942091369629","4.323942091369629","2.9932689125061036","2.9932689125061036","2.9932689125061036"
"9","3.000597895812988","3.000597895812988","3.000597895812988","2.895721865081787","2.895721865081787","2.895721865081787","2.8736924613952635","2.8736924613952635","2.8736924613952635","2.940062618637085","2.940062618637085","2.940062618637085","4.30043754272461","4.30043754272461","4.30043754272461","2.8473989013671877","2.8473989013671877","2.8473989013671877"
