"Step","ViT-Tiny_cifar10_lion_1024 - train/loss","ViT-Tiny_cifar10_lion_1024 - train/loss__MIN","ViT-Tiny_cifar10_lion_1024 - train/loss__MAX","ViT-Tiny_cifar10_adafactor_1024 - train/loss","ViT-Tiny_cifar10_adafactor_1024 - train/loss__MIN","ViT-Tiny_cifar10_adafactor_1024 - train/loss__MAX","ViT-Tiny_cifar10_adamw_1024 - train/loss","ViT-Tiny_cifar10_adamw_1024 - train/loss__MIN","ViT-Tiny_cifar10_adamw_1024 - train/loss__MAX","ViT-Tiny_cifar10_adam-mini_1024 - train/loss","ViT-Tiny_cifar10_adam-mini_1024 - train/loss__MIN","ViT-Tiny_cifar10_adam-mini_1024 - train/loss__MAX","ViT-Tiny_cifar10_sgd_1024 - train/loss","ViT-Tiny_cifar10_sgd_1024 - train/loss__MIN","ViT-Tiny_cifar10_sgd_1024 - train/loss__MAX","ViT-Tiny_cifar10_adam_1024 - train/loss","ViT-Tiny_cifar10_adam_1024 - train/loss__MIN","ViT-Tiny_cifar10_adam_1024 - train/loss__MAX"
"0","2.015835122680664","2.015835122680664","2.015835122680664","2.055152357673645","2.055152357673645","2.055152357673645","1.9992066436767577","1.9992066436767577","1.9992066436767577","2.0198830459594728","2.0198830459594728","2.0198830459594728","2.3605410987854003","2.3605410987854003","2.3605410987854003","1.9960753059387206","1.9960753059387206","1.9960753059387206"
"1","1.9168825204849242","1.9168825204849242","1.9168825204849242","1.8924756664276123","1.8924756664276123","1.8924756664276123","1.846215891265869","1.846215891265869","1.846215891265869","1.9139089809417724","1.9139089809417724","1.9139089809417724","2.2142756912231447","2.2142756912231447","2.2142756912231447","1.872145219039917","1.872145219039917","1.872145219039917"
"2","1.840981619644165","1.840981619644165","1.840981619644165","1.7867146165847778","1.7867146165847778","1.7867146165847778","1.762214303588867","1.762214303588867","1.762214303588867","1.8012443046569824","1.8012443046569824","1.8012443046569824","2.107088343048096","2.107088343048096","2.107088343048096","1.7708981267929078","1.7708981267929078","1.7708981267929078"
"3","1.7782420578002929","1.7782420578002929","1.7782420578002929","1.6982728553771973","1.6982728553771973","1.6982728553771973","1.6563945358276366","1.6563945358276366","1.6563945358276366","1.6990804901123047","1.6990804901123047","1.6990804901123047","2.0436392066955564","2.0436392066955564","2.0436392066955564","1.7124810890197755","1.7124810890197755","1.7124810890197755"
"4","1.7098289169311522","1.7098289169311522","1.7098289169311522","1.602435164642334","1.602435164642334","1.602435164642334","1.52465225982666","1.52465225982666","1.52465225982666","1.6095262706756592","1.6095262706756592","1.6095262706756592","2.0038881927490233","2.0038881927490233","2.0038881927490233","1.5833871864318847","1.5833871864318847","1.5833871864318847"
"5","1.632238314628601","1.632238314628601","1.632238314628601","1.538680327796936","1.538680327796936","1.538680327796936","1.4959440925598144","1.4959440925598144","1.4959440925598144","1.4920845413208008","1.4920845413208008","1.4920845413208008","1.9805759620666503","1.9805759620666503","1.9805759620666503","1.4858742691040039","1.4858742691040039","1.4858742691040039"
"6","1.536417757797241","1.536417757797241","1.536417757797241","1.426075122833252","1.426075122833252","1.426075122833252","1.3540091190338135","1.3540091190338135","1.3540091190338135","1.4529616779327392","1.4529616779327392","1.4529616779327392","1.9628000762939453","1.9628000762939453","1.9628000762939453","1.3898348217010499","1.3898348217010499","1.3898348217010499"
"7","1.4641456302642821","1.4641456302642821","1.4641456302642821","1.3402569789886474","1.3402569789886474","1.3402569789886474","1.3261145690917968","1.3261145690917968","1.3261145690917968","1.3581194385528566","1.3581194385528566","1.3581194385528566","1.9491924921035766","1.9491924921035766","1.9491924921035766","1.2991333618164063","1.2991333618164063","1.2991333618164063"
"8","1.3956415210723876","1.3956415210723876","1.3956415210723876","1.2801782154083252","1.2801782154083252","1.2801782154083252","1.2663338329315186","1.2663338329315186","1.2663338329315186","1.2855274353027344","1.2855274353027344","1.2855274353027344","1.937647500038147","1.937647500038147","1.937647500038147","1.2624339645385743","1.2624339645385743","1.2624339645385743"
"9","1.3416345718383789","1.3416345718383789","1.3416345718383789","1.2204304246902467","1.2204304246902467","1.2204304246902467","1.201917911529541","1.201917911529541","1.201917911529541","1.2364124671936034","1.2364124671936034","1.2364124671936034","1.923823740386963","1.923823740386963","1.923823740386963","1.1790913606643676","1.1790913606643676","1.1790913606643676"
